channel,frequency_hz,frequency_thz,wavelength_nm,band
0,184487666461538.44,184.48766646153842,1625.0,L
1,184537666461538.44,184.53766646153844,1624.5597104831882,L
2,184587666461538.44,184.58766646153845,1624.119659492343,L
3,184637666461538.44,184.63766646153843,1623.6798468336865,L
4,184687666461538.44,184.68766646153844,1623.2402723136488,L
5,184737666461538.44,184.73766646153842,1622.800935738871,L
6,184787666461538.44,184.78766646153844,1622.3618369162023,L
7,184837666461538.44,184.83766646153845,1621.9229756527018,L
8,184887666461538.44,184.88766646153843,1621.4843517556365,L
9,184937666461538.44,184.93766646153844,1621.0459650324829,L
10,184987666461538.44,184.98766646153842,1620.6078152909242,L
11,185037666461538.44,185.03766646153844,1620.169902338853,L
12,185087666461538.44,185.08766646153845,1619.7322259843686,L
13,185137666461538.44,185.13766646153843,1619.2947860357774,L
14,185187666461538.44,185.18766646153844,1618.8575823015935,L
15,185237666461538.44,185.23766646153842,1618.4206145905373,L
16,185287666461538.44,185.28766646153844,1617.9838827115361,L
17,185337666461538.44,185.33766646153845,1617.5473864737226,L
18,185387666461538.44,185.38766646153843,1617.1111256864363,L
19,185437666461538.44,185.43766646153844,1616.6751001592218,L
20,185487666461538.44,185.48766646153842,1616.2393097018291,L
21,185537666461538.44,185.53766646153844,1615.8037541242136,L
22,185587666461538.44,185.58766646153845,1615.368433236535,L
23,185637666461538.44,185.63766646153843,1614.9333468491582,L
24,185687666461538.44,185.68766646153844,1614.4984947726516,L
25,185737666461538.44,185.73766646153842,1614.0638768177882,L
26,185787666461538.44,185.78766646153844,1613.6294927955441,L
27,185837666461538.44,185.83766646153845,1613.1953425170996,L
28,185887666461538.44,185.88766646153843,1612.7614257938374,L
29,185937666461538.44,185.93766646153844,1612.3277424373432,L
30,185987666461538.44,185.98766646153842,1611.8942922594063,L
31,186037666461538.44,186.03766646153844,1611.4610750720167,L
32,186087666461538.44,186.08766646153845,1611.028090687368,L
33,186137666461538.44,186.13766646153843,1610.5953389178542,L
34,186187666461538.44,186.18766646153844,1610.1628195760723,L
35,186237666461538.44,186.23766646153842,1609.730532474819,L
36,186287666461538.44,186.28766646153844,1609.2984774270933,L
37,186337666461538.44,186.33766646153845,1608.8666542460944,L
38,186387666461538.44,186.38766646153843,1608.4350627452216,L
39,186437666461538.44,186.43766646153844,1608.003702738075,L
40,186487666461538.44,186.48766646153842,1607.572574038454,L
41,186537666461538.44,186.53766646153844,1607.1416764603582,L
42,186587666461538.44,186.58766646153845,1606.711009817986,L
43,186637666461538.44,186.63766646153843,1606.2805739257358,L
44,186687666461538.44,186.68766646153844,1605.8503685982037,L
45,186737666461538.44,186.73766646153842,1605.4203936501851,L
46,186787666461538.44,186.78766646153844,1604.9906488966735,L
47,186837666461538.44,186.83766646153845,1604.5611341528606,L
48,186887666461538.44,186.88766646153843,1604.1318492341356,L
49,186937666461538.44,186.93766646153844,1603.7027939560855,L
50,186987666461538.44,186.98766646153842,1603.2739681344942,L
51,187037666461538.44,187.03766646153844,1602.845371585343,L
52,187087666461538.44,187.08766646153845,1602.4170041248094,L
53,187137666461538.44,187.13766646153843,1601.988865569268,L
54,187187666461538.44,187.18766646153844,1601.5609557352889,L
55,187237666461538.44,187.23766646153842,1601.1332744396389,L
56,187287666461538.44,187.28766646153844,1600.7058214992799,L
