strategy,channel,band,frequency_thz,wavelength_nm,launch_power_dbm
flat,0,L,184.48766646153842,1625.0,0.0
flat,1,L,184.68766646153844,1623.2402723136488,0.0
flat,2,L,184.88766646153843,1621.4843517556365,0.0
flat,3,L,185.08766646153845,1619.7322259843686,0.0
flat,4,L,185.28766646153844,1617.9838827115361,0.0
flat,5,L,185.48766646153842,1616.2393097018291,0.0
flat,6,L,185.68766646153844,1614.4984947726516,0.0
flat,7,L,185.88766646153843,1612.7614257938374,0.0
flat,8,L,186.08766646153845,1611.028090687368,0.0
flat,9,L,186.28766646153844,1609.2984774270933,0.0
flat,10,L,186.48766646153842,1607.572574038454,0.0
flat,11,L,186.68766646153844,1605.8503685982037,0.0
flat,12,L,186.88766646153843,1604.1318492341356,0.0
flat,13,L,187.08766646153845,1602.4170041248094,0.0
flat,14,L,187.28766646153844,1600.7058214992799,0.0
flat,15,L,187.48766646153842,1598.9982896368278,0.0
flat,16,L,187.68766646153844,1597.2943968666925,0.0
flat,17,L,187.88766646153843,1595.594131567806,0.0
flat,18,L,188.08766646153845,1593.897482168528,0.0
flat,19,L,188.28766646153844,1592.2044371463846,0.0
flat,20,L,188.48766646153842,1590.5149850278065,0.0
flat,21,L,188.68766646153844,1588.8291143878705,0.0
flat,22,L,188.88766646153843,1587.146813850041,0.0
flat,23,L,189.08766646153845,1585.4680720859158,0.0
flat,24,L,189.28766646153844,1583.7928778149692,0.0
flat,25,L,189.48766646153842,1582.1212198043024,0.0
flat,26,L,189.68766646153844,1580.45308686839,0.0
flat,27,L,189.88766646153843,1578.7884678688315,0.0
flat,28,L,190.08766646153845,1577.127351714104,0.0
flat,29,L,190.28766646153844,1575.469727359314,0.0
flat,30,L,190.48766646153842,1573.8155838059542,0.0
flat,31,L,190.68766646153844,1572.1649101016603,0.0
flat,32,L,190.88766646153843,1570.5176953399687,0.0
flat,33,L,191.08766646153845,1568.8739286600755,0.0
flat,34,L,191.28766646153844,1567.2335992465999,0.0
flat,35,L,191.48766646153842,1565.5966963293447,0.0
flat,36,C,191.68766646153844,1563.9632091830617,0.0
flat,37,C,191.88766646153843,1562.3331271272182,0.0
flat,38,C,192.08766646153845,1560.7064395257632,0.0
flat,39,C,192.28766646153844,1559.0831357868954,0.0
flat,40,C,192.48766646153842,1557.4632053628354,0.0
flat,41,C,192.68766646153844,1555.846637749595,0.0
flat,42,C,192.88766646153843,1554.233422486752,0.0
flat,43,C,193.08766646153845,1552.6235491572234,0.0
flat,44,C,193.28766646153844,1551.0170073870415,0.0
flat,45,C,193.48766646153842,1549.4137868451314,0.0
flat,46,C,193.68766646153844,1547.8138772430889,0.0
flat,47,C,193.88766646153843,1546.2172683349609,0.0
flat,48,C,194.08766646153845,1544.623949917027,0.0
flat,49,C,194.28766646153844,1543.0339118275813,0.0
flat,50,C,194.48766646153842,1541.4471439467163,0.0
flat,51,C,194.68766646153844,1539.8636361961098,0.0
flat,52,C,194.88766646153843,1538.2833785388095,0.0
flat,53,C,195.08766646153845,1536.7063609790223,0.0
flat,54,C,195.28766646153844,1535.1325735619027,0.0
flat,55,C,195.48766646153842,1533.5620063733443,0.0
flat,56,C,195.68766646153844,1531.99464953977,0.0
flat,57,C,195.88766646153843,1530.4304932279274,0.0
flat,58,S,196.08766646153845,1528.8695276446808,0.0
flat,59,S,196.28766646153844,1527.3117430368086,0.0
flat,60,S,196.48766646153842,1525.7571296907993,0.0
flat,61,S,196.68766646153844,1524.2056779326492,0.0
flat,62,S,196.88766646153843,1522.6573781276634,0.0
flat,63,S,197.08766646153845,1521.1122206802543,0.0
flat,64,S,197.28766646153844,1519.5701960337447,0.0
flat,65,S,197.48766646153842,1518.0312946701704,0.0
flat,66,S,197.68766646153844,1516.4955071100846,0.0
flat,67,S,197.88766646153843,1514.9628239123624,0.0
flat,68,S,198.08766646153845,1513.433235674009,0.0
flat,69,S,198.28766646153844,1511.9067330299654,0.0
flat,70,S,198.48766646153842,1510.3833066529185,0.0
flat,71,S,198.68766646153844,1508.862947253111,0.0
flat,72,S,198.88766646153843,1507.345645578153,0.0
flat,73,S,199.08766646153845,1505.8313924128324,0.0
flat,74,S,199.28766646153844,1504.3201785789313,0.0
flat,75,S,199.48766646153842,1502.8119949350378,0.0
flat,76,S,199.68766646153844,1501.3068323763632,0.0
flat,77,S,199.88766646153843,1499.8046818345586,0.0
flat,78,S,200.08766646153845,1498.3055342775322,0.0
flat,79,S,200.28766646153844,1496.8093807092691,0.0
flat,80,S,200.48766646153842,1495.3162121696507,0.0
flat,81,S,200.68766646153844,1493.8260197342763,0.0
flat,82,S,200.88766646153843,1492.3387945142847,0.0
flat,83,S,201.08766646153845,1490.8545276561783,0.0
flat,84,S,201.28766646153844,1489.3732103416462,0.0
flat,85,S,201.48766646153842,1487.894833787391,0.0
flat,86,S,201.68766646153844,1486.4193892449543,0.0
flat,87,S,201.88766646153843,1484.946868000544,0.0
flat,88,S,202.08766646153845,1483.477261374864,0.0
flat,89,S,202.28766646153844,1482.0105607229418,0.0
flat,90,S,202.48766646153842,1480.5467574339602,0.0
flat,91,S,202.68766646153844,1479.085842931089,0.0
flat,92,S,202.88766646153843,1477.6278086713164,0.0
flat,93,S,203.08766646153845,1476.1726461452838,0.0
flat,94,S,203.28766646153844,1474.7203468771188,0.0
flat,95,S,203.48766646153842,1473.270902424272,0.0
flat,96,S,203.68766646153844,1471.8243043773525,0.0
