strategy,spans,channel,band,frequency_thz,wavelength_nm,distance_km,launch_power_dbm,ase_psd_w_per_hz,ase_channel_w,ase_receiver_w,ase_01nm_w,nli_w,transceiver_noise_w,total_noise_w,optical_noise_bandwidth_hz,receiver_equivalent_bandwidth_hz,gsnr_db,osnr_01nm_db,ber,evm_percent,q_factor_db,gmi_bits_per_2d_symbol_per_pol,ngmi,air_per_channel_gbps,metric_basis,calibrated_receiver_snr_db,calibrated_receiver_ngmi
adaptive,1,0,L,184.48766646153842,1625.0,80.0,-5.0,7.143872306771757e-18,2.766107357182024e-07,2.5146430519836585e-07,8.110500500772488e-08,2.5340042140423316e-08,1e-07,3.768043473387892e-07,38720000000.0,35200000000.0,29.2388409522535,35.90952344553735,9.968368450706566e-12,6.710526888559813,16.52990006314239,4.0,1.0,256.0,calibrated_receiver,23.464867582281606,1.0
adaptive,1,1,L,184.68766646153844,1623.2402723136488,80.0,-5.0,6.757676271732643e-18,2.6165722524148795e-07,2.3787020476498904e-07,7.688692072369037e-08,2.718087977249719e-08,1e-07,3.650510845374862e-07,38720000000.0,35200000000.0,29.376463569672122,36.141475319883874,8.524964897980731e-12,6.687510499781589,16.559377904678588,4.0,1.0,256.0,calibrated_receiver,23.494710462050186,1.0
adaptive,1,2,L,184.88766646153843,1621.4843517556365,80.0,-5.0,6.3866704856863876e-18,2.4729188120577695e-07,2.2481080109616085e-07,7.282318828910227e-08,2.855249215339642e-08,1e-07,3.5336329324955726e-07,38720000000.0,35200000000.0,29.51778566224633,36.3773031103717,7.251993775233218e-12,6.663957553414203,16.589650619579924,4.0,1.0,256.0,calibrated_receiver,23.525355557285568,1.0
adaptive,1,3,L,185.08766646153845,1619.7322259843686,80.0,-5.0,6.030401337535298e-18,2.3349713978936675e-07,2.122701270812425e-07,6.890971813026826e-08,2.978088248411618e-08,1e-07,3.420510095653587e-07,38720000000.0,35200000000.0,29.65909123415086,36.617195265287805,6.162305264799152e-12,6.640490297709259,16.619922282744245,4.0,1.0,256.0,calibrated_receiver,23.555997070083933,1.0
adaptive,1,4,L,185.28766646153844,1617.9838827115361,80.0,-5.0,5.688595999408981e-18,2.2026243709711573e-07,2.0023857917919613e-07,6.514444855943297e-08,3.094454636984445e-08,1e-07,3.311831255490406e-07,38720000000.0,35200000000.0,29.799317995068257,36.861225878213865,5.237014997567151e-12,6.617283902174366,16.649965277010544,4.0,1.0,256.0,calibrated_receiver,23.586404647304082,1.0
adaptive,1,5,L,185.48766646153842,1616.2393097018291,80.0,-5.0,5.361172023484498e-18,2.0758458074931976e-07,1.8871325522665432e-07,6.152747815040338e-08,3.207321487883317e-08,1e-07,3.207864701054875e-07,38720000000.0,35200000000.0,29.937839573530916,37.10930885136397,4.454571353171902e-12,6.594439327362281,16.679645317498725,4.0,1.0,256.0,calibrated_receiver,23.616442462954982,1.0
adaptive,1,6,L,185.68766646153844,1614.4984947726516,80.0,-5.0,5.04823227112373e-18,1.9546755353791082e-07,1.7769777594355528e-07,5.806103091553508e-08,3.318052990482051e-08,1e-07,3.108783058483758e-07,38720000000.0,35200000000.0,30.074095834539772,37.36115257223715,3.794992103468095e-12,6.572045284881127,16.708842272367658,4.0,1.0,256.0,calibrated_receiver,23.64598905414235,1.0
adaptive,1,7,L,185.88766646153843,1612.7614257938374,80.0,-5.0,4.750044866429179e-18,1.839217372281378e-07,1.672015792983071e-07,5.474924819543659e-08,3.427326208044481e-08,1e-07,3.0147484137875194e-07,38720000000.0,35200000000.0,30.207489246723384,37.616218400826405,3.240611085702366e-12,6.55019542813746,16.73742796136533,4.0,1.0,256.0,calibrated_receiver,23.67491484872746,1.0
adaptive,1,8,L,186.08766646153845,1611.028090687368,80.0,-5.0,4.4670091988526485e-18,1.7296259617957456e-07,1.5723872379961323e-07,5.1597816492575775e-08,3.535470422822627e-08,1e-07,2.925934280278395e-07,38720000000.0,35200000000.0,30.337354328357872,37.87368676382283,2.7760376786167424e-12,6.528993301104433,16.765259606799706,4.0,1.0,256.0,calibrated_receiver,23.70307553982641,1.0
adaptive,1,9,L,186.28766646153844,1609.2984774270933,80.0,-5.0,4.199610365315039e-18,1.626089133449983e-07,1.4782628485908936e-07,4.861345648279034e-08,3.64261323520272e-08,1e-07,2.8425241721111656e-07,38720000000.0,35200000000.0,30.462958334933994,38.13243498900049,2.387926744549786e-12,6.508552138853789,16.792179978536275,4.0,1.0,256.0,calibrated_receiver,23.730312234906126,1.0
adaptive,1,10,L,186.48766646153842,1607.572574038454,80.0,-5.0,3.948365652741925e-18,1.5288071807416733e-07,1.3898247097651575e-07,4.580331294574061e-08,3.7487497205953824e-08,1e-07,2.7646996818246956e-07,38720000000.0,35200000000.0,30.583520374551046,38.391031084149326,2.0647266362802486e-12,6.488991719401647,16.81802149006121,4.0,1.0,256.0,calibrated_receiver,23.756455600876286,1.0
