channel,frequency_hz,frequency_thz,wavelength_nm,band
0,184487666461538.44,184.48766646153842,1625.0,L
1,184687666461538.44,184.68766646153844,1623.2402723136488,L
2,184887666461538.44,184.88766646153843,1621.4843517556365,L
3,185087666461538.44,185.08766646153845,1619.7322259843686,L
4,185287666461538.44,185.28766646153844,1617.9838827115361,L
5,185487666461538.44,185.48766646153842,1616.2393097018291,L
6,185687666461538.44,185.68766646153844,1614.4984947726516,L
7,185887666461538.44,185.88766646153843,1612.7614257938374,L
8,186087666461538.44,186.08766646153845,1611.028090687368,L
9,186287666461538.44,186.28766646153844,1609.2984774270933,L
10,186487666461538.44,186.48766646153842,1607.572574038454,L
11,186687666461538.44,186.68766646153844,1605.8503685982037,L
12,186887666461538.44,186.88766646153843,1604.1318492341356,L
13,187087666461538.44,187.08766646153845,1602.4170041248094,L
14,187287666461538.44,187.28766646153844,1600.7058214992799,L
15,187487666461538.44,187.48766646153842,1598.9982896368278,L
16,187687666461538.44,187.68766646153844,1597.2943968666925,L
17,187887666461538.44,187.88766646153843,1595.594131567806,L
18,188087666461538.44,188.08766646153845,1593.897482168528,L
19,188287666461538.44,188.28766646153844,1592.2044371463846,L
20,188487666461538.44,188.48766646153842,1590.5149850278065,L
21,188687666461538.44,188.68766646153844,1588.8291143878705,L
22,188887666461538.44,188.88766646153843,1587.146813850041,L
23,189087666461538.44,189.08766646153845,1585.4680720859158,L
24,189287666461538.44,189.28766646153844,1583.7928778149692,L
25,189487666461538.44,189.48766646153842,1582.1212198043024,L
26,189687666461538.44,189.68766646153844,1580.45308686839,L
27,189887666461538.44,189.88766646153843,1578.7884678688315,L
28,190087666461538.44,190.08766646153845,1577.127351714104,L
29,190287666461538.44,190.28766646153844,1575.469727359314,L
30,190487666461538.44,190.48766646153842,1573.8155838059542,L
31,190687666461538.44,190.68766646153844,1572.1649101016603,L
32,190887666461538.44,190.88766646153843,1570.5176953399687,L
33,191087666461538.44,191.08766646153845,1568.8739286600755,L
34,191287666461538.44,191.28766646153844,1567.2335992465999,L
35,191487666461538.44,191.48766646153842,1565.5966963293447,L
36,191687666461538.44,191.68766646153844,1563.9632091830617,C
37,191887666461538.44,191.88766646153843,1562.3331271272182,C
38,192087666461538.44,192.08766646153845,1560.7064395257632,C
39,192287666461538.44,192.28766646153844,1559.0831357868954,C
40,192487666461538.44,192.48766646153842,1557.4632053628354,C
41,192687666461538.44,192.68766646153844,1555.846637749595,C
42,192887666461538.44,192.88766646153843,1554.233422486752,C
43,193087666461538.44,193.08766646153845,1552.6235491572234,C
44,193287666461538.44,193.28766646153844,1551.0170073870415,C
45,193487666461538.44,193.48766646153842,1549.4137868451314,C
46,193687666461538.44,193.68766646153844,1547.8138772430889,C
47,193887666461538.44,193.88766646153843,1546.2172683349609,C
48,194087666461538.44,194.08766646153845,1544.623949917027,C
49,194287666461538.44,194.28766646153844,1543.0339118275813,C
50,194487666461538.44,194.48766646153842,1541.4471439467163,C
51,194687666461538.44,194.68766646153844,1539.8636361961098,C
52,194887666461538.44,194.88766646153843,1538.2833785388095,C
53,195087666461538.44,195.08766646153845,1536.7063609790223,C
54,195287666461538.44,195.28766646153844,1535.1325735619027,C
55,195487666461538.44,195.48766646153842,1533.5620063733443,C
56,195687666461538.44,195.68766646153844,1531.99464953977,C
57,195887666461538.44,195.88766646153843,1530.4304932279274,C
58,196087666461538.44,196.08766646153845,1528.8695276446808,S
59,196287666461538.44,196.28766646153844,1527.3117430368086,S
60,196487666461538.44,196.48766646153842,1525.7571296907993,S
61,196687666461538.44,196.68766646153844,1524.2056779326492,S
62,196887666461538.44,196.88766646153843,1522.6573781276634,S
63,197087666461538.44,197.08766646153845,1521.1122206802543,S
64,197287666461538.44,197.28766646153844,1519.5701960337447,S
65,197487666461538.44,197.48766646153842,1518.0312946701704,S
66,197687666461538.44,197.68766646153844,1516.4955071100846,S
67,197887666461538.44,197.88766646153843,1514.9628239123624,S
68,198087666461538.44,198.08766646153845,1513.433235674009,S
69,198287666461538.44,198.28766646153844,1511.9067330299654,S
70,198487666461538.44,198.48766646153842,1510.3833066529185,S
71,198687666461538.44,198.68766646153844,1508.862947253111,S
72,198887666461538.44,198.88766646153843,1507.345645578153,S
73,199087666461538.44,199.08766646153845,1505.8313924128324,S
74,199287666461538.44,199.28766646153844,1504.3201785789313,S
75,199487666461538.44,199.48766646153842,1502.8119949350378,S
76,199687666461538.44,199.68766646153844,1501.3068323763632,S
77,199887666461538.44,199.88766646153843,1499.8046818345586,S
78,200087666461538.44,200.08766646153845,1498.3055342775322,S
79,200287666461538.44,200.28766646153844,1496.8093807092691,S
80,200487666461538.44,200.48766646153842,1495.3162121696507,S
81,200687666461538.44,200.68766646153844,1493.8260197342763,S
82,200887666461538.44,200.88766646153843,1492.3387945142847,S
83,201087666461538.44,201.08766646153845,1490.8545276561783,S
84,201287666461538.44,201.28766646153844,1489.3732103416462,S
85,201487666461538.44,201.48766646153842,1487.894833787391,S
86,201687666461538.44,201.68766646153844,1486.4193892449543,S
87,201887666461538.44,201.88766646153843,1484.946868000544,S
88,202087666461538.44,202.08766646153845,1483.477261374864,S
89,202287666461538.44,202.28766646153844,1482.0105607229418,S
90,202487666461538.44,202.48766646153842,1480.5467574339602,S
91,202687666461538.44,202.68766646153844,1479.085842931089,S
92,202887666461538.44,202.88766646153843,1477.6278086713164,S
93,203087666461538.44,203.08766646153845,1476.1726461452838,S
94,203287666461538.44,203.28766646153844,1474.7203468771188,S
95,203487666461538.44,203.48766646153842,1473.270902424272,S
96,203687666461538.44,203.68766646153844,1471.8243043773525,S
97,203887666461538.44,203.88766646153843,1470.3805443599656,S
98,204087666461538.44,204.08766646153845,1468.9396140285512,S
99,204287666461538.44,204.28766646153844,1467.5015050722234,S
100,204487666461538.44,204.48766646153842,1466.0662092126088,S
101,204687666461538.44,204.68766646153844,1464.6337182036912,S
102,204887666461538.44,204.88766646153843,1463.20402383165,S
103,205087666461538.44,205.08766646153845,1461.7771179147053,S
104,205287666461538.44,205.28766646153844,1460.3529923029616,S
