strategy,spans,channel,band,frequency_thz,wavelength_nm,distance_km,launch_power_dbm,ase_psd_w_per_hz,ase_channel_w,ase_receiver_w,ase_01nm_w,nli_w,transceiver_noise_w,total_noise_w,optical_noise_bandwidth_hz,receiver_equivalent_bandwidth_hz,gsnr_db,osnr_01nm_db,ber,evm_percent,q_factor_db,gmi_bits_per_2d_symbol_per_pol,ngmi,air_per_channel_gbps,metric_basis,calibrated_receiver_snr_db,calibrated_receiver_ngmi
flat,1,0,L,184.48766646153842,1625.0,80.0,0.0,9.616982493359752e-18,3.723695621428896e-07,3.3851778376626327e-07,1.0918244052931744e-07,3.852918295977946e-07,3.162277660168379e-07,1.0400373793808958e-06,38720000000.0,35200000000.0,29.8295105169436,39.61847202239533,5.0559928025377176e-12,6.6122979041916246,16.656434214867176,4.0,1.0,256.0,calibrated_receiver,23.592951767371527,1.0
flat,1,1,L,184.68766646153844,1623.2402723136488,80.0,0.0,9.285572862996695e-18,3.59537381255232e-07,3.2685216477748366e-07,1.0564860994861273e-07,4.128964295943473e-07,3.162277660168379e-07,1.0559763603886688e-06,38720000000.0,35200000000.0,29.763458040253795,39.76136212720693,5.460087426173228e-12,6.623210705706254,16.642282201635734,4.0,1.0,256.0,calibrated_receiver,23.578628568487186,1.0
flat,1,2,L,184.88766646153843,1621.4843517556365,80.0,0.0,8.94609429193525e-18,3.463927709837329e-07,3.149025190761208e-07,1.0200668885826315e-07,4.2857408224681017e-07,3.162277660168379e-07,1.059704367339769e-06,38720000000.0,35200000000.0,29.748152758111456,39.91371349424459,5.558042508148292e-12,6.625741923385744,16.639003058984947,4.0,1.0,256.0,calibrated_receiver,23.57530968309345,1.0
flat,1,3,L,185.08766646153845,1619.7322259843686,80.0,0.0,8.599522441908403e-18,3.329735089506934e-07,3.027031899551758e-07,9.826720219072909e-08,4.40342363034905e-07,3.162277660168379e-07,1.0592733190069186e-06,38720000000.0,35200000000.0,29.749919665957428,40.075914087635354,5.546648788201555e-12,6.625449659303978,16.639381615895207,4.0,1.0,256.0,calibrated_receiver,23.575692829551485,1.0
flat,1,4,L,185.28766646153844,1617.9838827115361,80.0,0.0,8.247224820394539e-18,3.193325450456766e-07,2.903023136778878e-07,9.444525734049137e-08,4.501879430612844e-07,3.162277660168379e-07,1.05671802275601e-06,38720000000.0,35200000000.0,29.760408854442794,40.248198457100514,5.4794696048663294e-12,6.623714908909936,16.64162891407213,4.0,1.0,256.0,calibrated_receiver,23.577967365501394,1.0
flat,1,5,L,185.48766646153842,1616.2393097018291,80.0,0.0,7.890958134434994e-18,3.0553789896532297e-07,2.777617263321118e-07,9.056056251793966e-08,4.588986938691336e-07,3.162277660168379e-07,1.0528881862180833e-06,38720000000.0,35200000000.0,29.77617747225596,40.43060888522429,5.3799422702877345e-12,6.621107876761188,16.645007350222805,4.0,1.0,256.0,calibrated_receiver,23.58138672326643,1.0
flat,1,6,L,185.68766646153844,1614.4984947726516,80.0,0.0,7.532841450625292e-18,2.9167162096821135e-07,2.651560190620103e-07,8.663716660747515e-08,4.668633228289487e-07,3.162277660168379e-07,1.0482471079077968e-06,38720000000.0,35200000000.0,29.795363271322813,40.622957593705024,5.261180845252828e-12,6.617937264317887,16.64911796085597,4.0,1.0,256.0,calibrated_receiver,23.58554708226523,1.0
flat,1,7,L,185.88766646153843,1612.7614257938374,80.0,0.0,7.175303881945326e-18,2.77827766308923e-07,2.525706966444755e-07,8.270290158451104e-08,4.742987825929155e-07,3.162277660168379e-07,1.0430972452542288e-06,38720000000.0,35200000000.0,29.816752015364592,40.82479253203971,5.131744008289737e-12,6.614404386712303,16.653700611928578,4.0,1.0,256.0,calibrated_receiver,23.59018514052057,1.0
flat,1,8,L,186.08766646153845,1611.028090687368,80.0,0.0,6.821008011378554e-18,2.641094302005776e-07,2.4009948200052507e-07,7.87885370273914e-08,4.813351006329725e-07,3.162277660168379e-07,1.0376623486503354e-06,38720000000.0,35200000000.0,29.83943941259666,41.03536963574916,4.997784273868051e-12,6.610659065750991,16.65856156772733,4.0,1.0,256.0,calibrated_receiver,23.59510480620168,1.0
flat,1,9,L,186.28766646153844,1609.2984774270933,80.0,0.0,6.472752931479856e-18,2.506249935069e-07,2.2784090318809092e-07,7.492668737966236e-08,4.880528195340588e-07,3.162277660168379e-07,1.0321214887389876e-06,38720000000.0,35200000000.0,29.862691798564907,41.25363467782725,4.863968011189955e-12,6.606822674928351,16.663543642434586,4.0,1.0,256.0,calibrated_receiver,23.600146987289342,1.0
