channel,band,wavelength_nm,launch_power_dbm,span_output_power_dbm,no_isrs_output_power_dbm,differential_isrs_db,amplifier_residual_db
0,L,1625.0,-5.0,-16.554745897412385,-18.793959967441292,2.2392140700289103,0.0
1,L,1623.2402723136488,-5.0,-16.31620230470537,-18.677185954564045,2.3609836498586736,0.0
2,L,1621.4843517556365,-5.0,-16.072424955363026,-18.564699931560863,2.492274976197835,0.0
3,L,1619.7322259843686,-5.0,-15.82299414197616,-18.456655705536036,2.6336615635598775,0.0
4,L,1617.9838827115361,-5.0,-15.567565554517584,-18.353169153977912,2.7856035994603294,0.0
5,L,1616.2393097018291,-5.0,-15.305912707939203,-18.25432315357834,2.9484104456391345,0.0
6,L,1614.4984947726516,-5.0,-15.037970051278805,-18.160173602916174,3.12220355163737,0.0
7,L,1612.7614257938374,-5.0,-14.763874318383179,-18.070756228815622,3.306881910432443,0.0
8,L,1611.028090687368,-5.0,-14.484001453565561,-17.986093842691176,3.5020923891256164,0.0
9,L,1609.2984774270933,-5.0,-14.19899636538521,-17.90620370450138,3.7072073391161693,0.0
10,L,1607.572574038454,-5.0,-13.909792855589227,-17.831104656755652,3.921311801166424,0.0
11,L,1605.8503685982037,-5.0,-13.6176213559979,-17.760823707553616,4.143202351555717,0.0
12,L,1604.1318492341356,-5.0,-13.324002589097098,-17.69540176786884,4.3713991787717426,0.0
13,L,1602.4170041248094,-5.0,-13.030725938624766,-17.634898282236954,4.60417234361219,0.0
14,L,1600.7058214992799,-5.0,-12.739812148286237,-17.579394531944278,4.83958238365804,0.0
15,L,1598.9982896368278,-5.0,-12.453460917055459,-17.528995434396784,5.075534517341325,0.0
16,L,1597.2943968666925,-5.0,-12.173984970312164,-17.483829710686305,5.3098447403741424,0.0
17,L,1595.594131567806,-5.0,-11.903733187327344,-17.444048344977208,5.540315157649864,0.0
18,L,1593.897482168528,-5.0,-11.645006280081216,-17.409821314018174,5.764815033936957,0.0
19,L,1592.2044371463846,-5.0,-11.39996926762618,-17.381332622757995,5.981363355131815,0.0
20,L,1590.5149850278065,-5.0,-11.170565501446589,-17.358773742510888,6.1882082410643005,8.881784197001252e-16
21,L,1588.8291143878705,-5.0,-10.958437210633061,-17.342335610835548,6.383898400202488,0.0
22,L,1587.146813850041,-5.0,-10.764857410831887,-17.33219941617095,6.567342005339065,0.0
23,L,1585.4680720859158,-5.0,-10.590677542503983,-17.328526453528898,6.737848911024916,0.0
24,L,1583.7928778149692,-5.0,-10.43629438526686,-17.33144739764328,6.89515301237642,0.0
25,L,1582.1212198043024,-5.0,-10.301638678964103,-17.34105139368466,7.039412714720558,0.0
26,L,1580.45308686839,-5.0,-10.186186539684922,-17.357375409186655,7.171188869501732,0.0
27,L,1578.7884678688315,-5.0,-10.08899328499873,-17.380394320149648,7.291401035150916,0.0
28,L,1577.127351714104,-5.0,-10.00874778857331,-17.41001221541967,7.401264426846361,0.0
29,L,1575.469727359314,-5.0,-9.94384408905712,-17.446055392918783,7.502211303861664,0.0
30,L,1573.8155838059542,-5.0,-9.892465797721652,-17.48826748658663,7.595801688864977,0.0
31,L,1572.1649101016603,-5.0,-9.852677986383725,-17.53630710276052,7.683629116376796,0.0
32,L,1570.5176953399687,-5.0,-9.8225207704557,-17.589748259599265,7.767227489143563,0.0
33,L,1568.8739286600755,-5.0,-9.800098778596713,-17.64808381530295,7.8479850367062385,0.0
34,L,1567.2335992465999,-5.0,-9.783661129830728,-17.71073194443739,7.9270708146066635,0.0
35,L,1565.5966963293447,-5.0,-9.771667390819553,-17.777045582523474,8.005378191703922,0.0
36,C,1563.9632091830617,-3.959832915886383,-8.73661041898837,-16.8200786006263,8.083468181637931,0.0
37,C,1562.3331271272182,-3.9021406081940757,-8.69423337104623,-16.85582723033067,8.161593859284439,0.0
38,C,1560.7064395257632,-3.844448300501768,-8.653303825134044,-16.893011482845754,8.23970765771171,0.0
39,C,1559.0831357868954,-3.78675599280946,-8.613423064702406,-16.930871128477065,8.31744806377466,0.0
40,C,1557.4632053628354,-3.7290636851171524,-8.574458964906107,-16.96866015593669,8.394201191030582,-4.440892098500626e-16
41,C,1555.846637749595,-3.671371377424845,-8.536510539693614,-17.005664936840727,8.469154397147115,0.0
42,C,1554.233422486752,-3.6136790697325374,-8.499865391027157,-17.041221490187844,8.541356099160687,0.0
43,C,1552.6235491572234,-3.5559867620402295,-8.464954931723536,-17.074731126490217,8.609776194766681,-4.440892098500626e-16
44,C,1551.0170073870415,-3.4982944543479215,-8.432312073498695,-17.105673817842625,8.67336174434393,4.440892098500626e-16
45,C,1549.4137868451314,-3.440602146655614,-8.453338329571277,-17.18442240722169,8.731084077650412,0.0
46,C,1547.8138772430889,-3.3829098389633065,-8.56571429458548,-17.34768720588016,8.78197291129468,0.0
47,C,1546.2172683349609,-3.3252175312709986,-8.681959036488333,-17.507092006227065,8.825132969738734,0.0
48,C,1544.623949917027,-3.267525223578691,-8.802757025338666,-17.66250393206964,8.859746906730974,0.0
49,C,1543.0339118275813,-3.209832915886383,-8.928820581167978,-17.81388694079387,8.885066359625894,0.0
50,C,1541.4471439467163,-3.1521406081940757,-9.06090470856258,-17.96129508843711,8.900390379874532,0.0
51,C,1539.8636361961098,-3.094448300501768,-9.19982622024974,-18.10486283235637,8.90503661210663,0.0
52,C,1538.2833785388095,-3.0367559928094603,-9.346482933579749,-18.244792867853683,8.898309934273932,0.0
53,C,1536.7063609790223,-2.9790636851171524,-9.501868520556368,-18.38134209088606,8.879473570329694,0.0
54,C,1535.1325735619027,-2.921371377424845,-9.667078866824587,-18.51480634212659,8.847727475302005,0.0
