strategy,metric,samples,mean,std,ci95_low,median,ci95_high,cvar_lower,worst_case
flat,minimum_gsnr_db,4,18.888423741982002,0.8190884167389613,17.82515806983224,19.102695334409997,19.587427707004174,17.737029481808758,17.737029481808758
flat,minimum_ngmi,4,0.9997341247498195,0.00030675813317836045,0.99932492088374,0.9998429389521205,0.9999583444719874,0.9992877160499157,0.9992877160499157
flat,working_fraction,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
flat,air_tbps,4,26.879486127995865,0.000741526042594997,26.87848466479223,26.879797256281147,26.879958673114515,26.878385262660125,26.878385262660125
flat,thresholded_net_capacity_tbps,4,21.504,0.0,21.504,21.504,21.504,21.504,21.504
flat,working_fraction_S,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
flat,working_fraction_C,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
flat,working_fraction_L,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
fixed,minimum_gsnr_db,4,20.65445933634318,0.5424426477407115,19.957412215537474,20.77579907545539,21.14522890065814,19.899181677055466,19.899181677055466
fixed,minimum_ngmi,4,0.99999700663995,5.809063633305028e-06,0.9999891568043743,0.9999998705727464,0.9999999877897716,0.9999882939017903,0.9999882939017903
fixed,working_fraction,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
fixed,air_tbps,4,26.879996447299682,6.906325181324569e-06,26.879987114809836,26.8799998544426,26.879999987646567,26.879986088793856,26.879986088793856
fixed,thresholded_net_capacity_tbps,4,21.504,0.0,21.504,21.504,21.504,21.504,21.504
fixed,working_fraction_S,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
fixed,working_fraction_C,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
fixed,working_fraction_L,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
adaptive,minimum_gsnr_db,4,20.951167051452554,0.41271089582962095,20.53303155868013,20.98811674268154,21.306488069135693,20.521594283221184,20.521594283221184
adaptive,minimum_ngmi,4,0.9999998445623853,1.9631235750283461e-07,0.9999996021520032,0.9999998972647555,0.9999999973787383,0.9999995863373938,0.9999995863373938
adaptive,working_fraction,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
adaptive,air_tbps,4,26.879999725468334,3.301657017270163e-07,26.87999934195956,26.87999979209715,26.879999995708125,26.879999321901163,26.879999321901163
adaptive,thresholded_net_capacity_tbps,4,21.504,0.0,21.504,21.504,21.504,21.504,21.504
adaptive,working_fraction_S,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
adaptive,working_fraction_C,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
adaptive,working_fraction_L,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
