strategy,channel,band,frequency_thz,wavelength_nm,launch_power_dbm
flat,0,C,193.33766646153845,1550.6158912890319,0.0
flat,1,C,193.38766646153843,1550.2149826065752,0.0
flat,2,C,193.43766646153844,1549.8142811788327,0.0
flat,3,C,193.48766646153842,1549.4137868451314,0.0
flat,4,C,193.53766646153844,1549.0134994449645,0.0
flat,5,C,193.58766646153845,1548.6134188179913,0.0
flat,6,C,193.63766646153843,1548.213544804036,0.0
flat,7,C,193.68766646153844,1547.8138772430889,0.0
flat,8,C,193.73766646153842,1547.4144159753055,0.0
flat,9,C,193.78766646153844,1547.0151608410054,0.0
flat,10,C,193.83766646153845,1546.6161116806743,0.0
flat,11,C,193.88766646153843,1546.2172683349609,0.0
flat,12,C,193.93766646153844,1545.8186306446798,0.0
flat,13,C,193.98766646153842,1545.4201984508086,0.0
flat,14,C,194.03766646153844,1545.0219715944893,0.0
flat,15,C,194.08766646153845,1544.623949917027,0.0
flat,16,C,194.13766646153843,1544.2261332598914,0.0
flat,17,C,194.18766646153844,1543.8285214647144,0.0
flat,18,C,194.23766646153842,1543.4311143732916,0.0
flat,19,C,194.28766646153844,1543.0339118275813,0.0
flat,20,C,194.33766646153845,1542.636913669704,0.0
flat,21,C,194.38766646153843,1542.2401197419435,0.0
flat,22,C,194.43766646153844,1541.843529886745,0.0
flat,23,C,194.48766646153842,1541.4471439467163,0.0
flat,24,C,194.53766646153844,1541.050961764627,0.0
flat,25,C,194.58766646153845,1540.6549831834075,0.0
flat,26,C,194.63766646153843,1540.2592080461504,0.0
flat,27,C,194.68766646153844,1539.8636361961098,0.0
flat,28,C,194.73766646153842,1539.4682674766998,0.0
flat,29,C,194.78766646153844,1539.0731017314956,0.0
flat,30,C,194.83766646153845,1538.6781388042334,0.0
flat,31,C,194.88766646153843,1538.2833785388095,0.0
flat,32,C,194.93766646153844,1537.8888207792802,0.0
flat,33,C,194.98766646153842,1537.494465369862,0.0
flat,34,C,195.03766646153844,1537.1003121549306,0.0
flat,35,C,195.08766646153845,1536.7063609790223,0.0
flat,36,C,195.13766646153843,1536.3126116868318,0.0
flat,37,C,195.18766646153844,1535.919064123213,0.0
flat,38,C,195.23766646153842,1535.5257181331795,0.0
flat,39,C,195.28766646153844,1535.1325735619027,0.0
flat,40,C,195.33766646153845,1534.7396302547133,0.0
fixed,0,C,193.33766646153845,1550.6158912890319,-3.35677925421729
fixed,1,C,193.38766646153843,1550.2149826065752,-3.2067792542172895
fixed,2,C,193.43766646153844,1549.8142811788327,-3.05677925421729
fixed,3,C,193.48766646153842,1549.4137868451314,-2.9067792542172897
fixed,4,C,193.53766646153844,1549.0134994449645,-2.75677925421729
fixed,5,C,193.58766646153845,1548.6134188179913,-2.60677925421729
fixed,6,C,193.63766646153843,1548.213544804036,-2.4567792542172895
fixed,7,C,193.68766646153844,1547.8138772430889,-2.30677925421729
fixed,8,C,193.73766646153842,1547.4144159753055,-2.1567792542172897
fixed,9,C,193.78766646153844,1547.0151608410054,-2.00677925421729
fixed,10,C,193.83766646153845,1546.6161116806743,-1.8567792542172898
fixed,11,C,193.88766646153843,1546.2172683349609,-1.70677925421729
fixed,12,C,193.93766646153844,1545.8186306446798,-1.55677925421729
fixed,13,C,193.98766646153842,1545.4201984508086,-1.4067792542172897
fixed,14,C,194.03766646153844,1545.0219715944893,-1.2567792542172898
fixed,15,C,194.08766646153845,1544.623949917027,-1.1067792542172898
fixed,16,C,194.13766646153843,1544.2261332598914,-0.95677925421729
fixed,17,C,194.18766646153844,1543.8285214647144,-0.8067792542172899
fixed,18,C,194.23766646153842,1543.4311143732916,-0.65677925421729
fixed,19,C,194.28766646153844,1543.0339118275813,-0.50677925421729
fixed,20,C,194.33766646153845,1542.636913669704,-0.35677925421728995
fixed,21,C,194.38766646153843,1542.2401197419435,-0.20677925421728993
fixed,22,C,194.43766646153844,1541.843529886745,-0.05677925421728991
fixed,23,C,194.48766646153842,1541.4471439467163,0.09322074578271
fixed,24,C,194.53766646153844,1541.050961764627,0.24322074578271013
fixed,25,C,194.58766646153845,1540.6549831834075,0.39322074578271005
fixed,26,C,194.63766646153843,1540.2592080461504,0.54322074578271
fixed,27,C,194.68766646153844,1539.8636361961098,0.6932207457827099
fixed,28,C,194.73766646153842,1539.4682674766998,0.8432207457827102
fixed,29,C,194.78766646153844,1539.0731017314956,0.9932207457827101
fixed,30,C,194.83766646153845,1538.6781388042334,1.1432207457827102
fixed,31,C,194.88766646153843,1538.2833785388095,1.29322074578271
fixed,32,C,194.93766646153844,1537.8888207792802,1.44322074578271
fixed,33,C,194.98766646153842,1537.494465369862,1.5932207457827103
fixed,34,C,195.03766646153844,1537.1003121549306,1.7432207457827098
fixed,35,C,195.08766646153845,1536.7063609790223,1.8932207457827102
fixed,36,C,195.13766646153843,1536.3126116868318,2.0432207457827105
fixed,37,C,195.18766646153844,1535.919064123213,2.19322074578271
