strategy,spans,channel,band,frequency_thz,wavelength_nm,distance_km,launch_power_dbm,ase_psd_w_per_hz,ase_channel_w,ase_receiver_w,ase_01nm_w,nli_w,transceiver_noise_w,total_noise_w,optical_noise_bandwidth_hz,receiver_equivalent_bandwidth_hz,gsnr_db,osnr_01nm_db,ber,evm_percent,q_factor_db,gmi_bits_per_2d_symbol_per_pol,ngmi,air_per_channel_gbps,metric_basis,calibrated_receiver_snr_db,calibrated_receiver_ngmi
flat,2,0,C,193.33766646153845,1550.6158912890319,160.0,0.0,5.202800014761396e-18,2.0145241657156126e-07,1.8313856051960114e-07,6.487081807757178e-08,1.42656280850812e-06,3.162277660168379e-07,1.925929135044559e-06,38720000000.0,35200000000.0,27.153596968715625,41.879506252031945,1.8239181279147558e-10,7.1859576791459965,15.94312997789509,3.999999999999994,1.0,255.9999999999996,calibrated_receiver,22.87030689700391,1.0
flat,2,1,C,193.38766646153843,1550.2149826065752,160.0,0.0,5.190689135815699e-18,2.0098348333878385e-07,1.827122575807126e-07,6.475329361188435e-08,1.6401734516913332e-06,3.162277660168379e-07,2.1391134752888834e-06,38720000000.0,35200000000.0,26.69766176445476,41.88738136727971,6.777510094187973e-10,7.435913156183319,15.650422089765986,3.9999999999998668,1.0,255.99999999999147,calibrated_receiver,22.573313819666613,1.0
flat,2,2,C,193.43766646153844,1549.8142811788327,160.0,0.0,5.1917265509523595e-18,2.0102365205287537e-07,1.8274877459352305e-07,6.479972994949791e-08,1.741358968343092e-06,3.162277660168379e-07,2.240335508953453e-06,38720000000.0,35200000000.0,26.496869375694317,41.88426804031988,1.1757328730442693e-09,7.548732721221323,15.52160363082188,3.9999999999993023,1.0,255.99999999995535,calibrated_receiver,22.442519029339888,1.0
flat,2,3,C,193.48766646153842,1549.4137868451314,160.0,0.0,5.207888747983918e-18,2.0164945232193732e-07,1.8331768392903393e-07,6.503506355719747e-08,1.8044366800405717e-06,3.162277660168379e-07,2.3039821299864437e-06,38720000000.0,35200000000.0,26.37520893685621,41.86852430993813,1.6288564086349328e-09,7.617921401308596,15.443579760158654,3.9999999999985936,1.0,255.99999999991002,calibrated_receiver,22.3632702506032,1.0
flat,2,4,C,193.53766646153844,1549.0134994449645,160.0,0.0,5.224220011122875e-18,2.0228179883067774e-07,1.838925443915252e-07,6.527272682882882e-08,1.8498336243736322e-06,3.162277660168379e-07,2.3499539347819956e-06,38720000000.0,35200000000.0,26.289406509478678,41.852682438694195,2.042802943535534e-09,7.667098508894337,15.388565204897233,3.9999999999980935,1.0,255.99999999987799,calibrated_receiver,22.307379135568173,1.0
flat,2,5,C,193.58766646153845,1548.6134188179913,160.0,0.0,5.2407300354808136e-18,2.029210669738171e-07,1.8447369724892464e-07,6.551284431578757e-08,1.8846068749810292e-06,3.162277660168379e-07,2.3853083382467918e-06,38720000000.0,35200000000.0,26.224554736704846,41.836735447622964,2.4195989651616067e-09,7.704478424479266,15.346990773354856,3.999999999997716,1.0,255.99999999985383,calibrated_receiver,22.26513513381774,1.0
flat,2,6,C,193.63766646153843,1548.213544804036,160.0,0.0,5.257428629140009e-18,2.0356763652030117e-07,1.8506148774572832e-07,6.57555422345574e-08,1.9122568946762254e-06,3.162277660168379e-07,2.413546148438792e-06,38720000000.0,35200000000.0,26.173443927969334,41.82067636595666,2.7618149294379087e-09,7.734066552254021,15.314229552036096,3.9999999999958313,1.0,255.9999999997332,calibrated_receiver,22.23184190217057,1.0
flat,2,7,C,193.68766646153844,1547.8138772430889,160.0,0.0,5.274325729235575e-18,2.0422189223600145e-07,1.8565626566909222e-07,6.600094867176651e-08,1.934772827476927e-06,3.162277660168379e-07,2.436656859162857e-06,38720000000.0,35200000000.0,26.132056257864356,41.80449822034611,3.0718726597800435e-09,7.758109180522937,15.287703512464585,3.9999999999932343,1.0,255.999999999567,calibrated_receiver,22.20488225660377,1.0
flat,2,8,C,193.73766646153842,1547.4144159753055,160.0,0.0,5.291431420142343e-18,2.048842245879115e-07,1.8625838598901046e-07,6.624919381622211e-08,1.953390843291294e-06,3.162277660168379e-07,2.4558769952971423e-06,38720000000.0,35200000000.0,26.097933889972694,41.78819402271101,3.3518977640413604e-09,7.777987503208654,15.265835822059515,3.9999999999910933,1.0,255.99999999942997,calibrated_receiver,22.182655179265865,1.0
flat,2,9,C,193.78766646153844,1547.0151608410054,160.0,0.0,5.308755953720735e-18,2.0555503052806686e-07,1.8686820957096987e-07,6.650041021744533e-08,1.9689292985395135e-06,3.162277660168379e-07,2.472025274127321e-06,38720000000.0,35200000000.0,26.069470933089832,41.771756756800016,3.6037141931927976e-09,7.794607837145291,15.24759634442936,3.999999999989307,1.0,255.99999999931566,calibrated_receiver,22.164114603596865,1.0
flat,2,10,C,193.83766646153845,1546.6161116806743,160.0,0.0,5.326309771577081e-18,2.0623471435546456e-07,1.8748610395951325e-07,6.675473307024205e-08,1.981955717121396e-06,3.162277660168379e-07,2.4856695870977473e-06,38720000000.0,35200000000.0,26.04556601373,41.75517936354169,3.828874938162954e-09,7.808594038976029,15.232278653204677,3.999999999987807,1.0,255.99999999921965,calibrated_receiver,22.14854310243216,1.0
flat,2,11,C,193.88766646153843,1546.2172683349609,160.0,0.0,5.344103529297321e-18,2.0692368865439226e-07,1.881124442312657e-07,6.701230052488745e-08,1.992877608957573e-06,3.162277660168379e-07,2.4972178192056765e-06,38720000000.0,35200000000.0,26.02543574767864,41.73845472526489,4.028698380486635e-09,7.820391243575106,15.219380328352564,3.999999999986544,1.0,255.99999999913882,calibrated_receiver,22.135430384646078,1.0
flat,2,12,C,193.93766646153844,1545.8186306446798,160.0,0.0,5.3621481226159406e-18,2.076223753076892e-07,1.887476139160811e-07,6.727325402253418e-08,2.0019952881680673e-06,3.162277660168379e-07,2.5069706681009864e-06,38720000000.0,35200000000.0,26.008507473167764,41.72157564886671,4.204301525479943e-09,7.830325737981964,15.208534125351147,3.999999999985482,1.0,255.99999999907084,calibrated_receiver,22.124403422275087,1.0
flat,2,13,C,193.98766646153842,1545.4201984508086,160.0,0.0,5.380454715487964e-18,2.0833120658369397e-07,1.8939200598517634e-07,6.753773865553066e-08,2.0095342476142927e-06,3.162277660168379e-07,2.515154019616307e-06,38720000000.0,35200000000.0,25.994354150528377,41.70453484800193,4.35662808019575e-09,7.838641415390003,15.19946620551567,3.9999999999845937,1.0,255.999999999014,calibrated_receiver,22.115184044596116,1.0
