strategy,parameter,metric,spearman_rho,abs_spearman_rho
flat,attenuation_scale,thresholded_net_capacity_tbps,,
flat,gamma_scale,thresholded_net_capacity_tbps,,
flat,dispersion_scale,thresholded_net_capacity_tbps,,
flat,noise_figure_offset_db,thresholded_net_capacity_tbps,,
flat,raman_gain_scale,thresholded_net_capacity_tbps,,
flat,pump_power_scale,thresholded_net_capacity_tbps,,
flat,transceiver_snr_offset_db,thresholded_net_capacity_tbps,,
fixed,attenuation_scale,thresholded_net_capacity_tbps,,
fixed,gamma_scale,thresholded_net_capacity_tbps,,
fixed,dispersion_scale,thresholded_net_capacity_tbps,,
fixed,noise_figure_offset_db,thresholded_net_capacity_tbps,,
fixed,raman_gain_scale,thresholded_net_capacity_tbps,,
fixed,pump_power_scale,thresholded_net_capacity_tbps,,
fixed,transceiver_snr_offset_db,thresholded_net_capacity_tbps,,
adaptive,attenuation_scale,thresholded_net_capacity_tbps,,
adaptive,gamma_scale,thresholded_net_capacity_tbps,,
adaptive,dispersion_scale,thresholded_net_capacity_tbps,,
adaptive,noise_figure_offset_db,thresholded_net_capacity_tbps,,
adaptive,raman_gain_scale,thresholded_net_capacity_tbps,,
adaptive,pump_power_scale,thresholded_net_capacity_tbps,,
adaptive,transceiver_snr_offset_db,thresholded_net_capacity_tbps,,
