strategy,parameter,metric,spearman_rho,abs_spearman_rho
flat,attenuation_scale,minimum_gsnr_db,-0.39999999999999997,0.39999999999999997
flat,attenuation_scale,minimum_ngmi,,
flat,attenuation_scale,working_fraction,,
flat,attenuation_scale,air_tbps,,
flat,attenuation_scale,thresholded_net_capacity_tbps,,
flat,attenuation_scale,working_fraction_C,,
flat,gamma_scale,minimum_gsnr_db,-0.7999999999999999,0.7999999999999999
flat,gamma_scale,minimum_ngmi,,
flat,gamma_scale,working_fraction,,
flat,gamma_scale,air_tbps,,
flat,gamma_scale,thresholded_net_capacity_tbps,,
flat,gamma_scale,working_fraction_C,,
flat,dispersion_scale,minimum_gsnr_db,0.7999999999999999,0.7999999999999999
flat,dispersion_scale,minimum_ngmi,,
flat,dispersion_scale,working_fraction,,
flat,dispersion_scale,air_tbps,,
flat,dispersion_scale,thresholded_net_capacity_tbps,,
flat,dispersion_scale,working_fraction_C,,
flat,noise_figure_offset_db,minimum_gsnr_db,0.39999999999999997,0.39999999999999997
flat,noise_figure_offset_db,minimum_ngmi,,
flat,noise_figure_offset_db,working_fraction,,
flat,noise_figure_offset_db,air_tbps,,
flat,noise_figure_offset_db,thresholded_net_capacity_tbps,,
flat,noise_figure_offset_db,working_fraction_C,,
flat,raman_gain_scale,minimum_gsnr_db,0.39999999999999997,0.39999999999999997
flat,raman_gain_scale,minimum_ngmi,,
flat,raman_gain_scale,working_fraction,,
flat,raman_gain_scale,air_tbps,,
flat,raman_gain_scale,thresholded_net_capacity_tbps,,
flat,raman_gain_scale,working_fraction_C,,
flat,pump_power_scale,minimum_gsnr_db,0.6000000000000001,0.6000000000000001
flat,pump_power_scale,minimum_ngmi,,
flat,pump_power_scale,working_fraction,,
flat,pump_power_scale,air_tbps,,
flat,pump_power_scale,thresholded_net_capacity_tbps,,
flat,pump_power_scale,working_fraction_C,,
flat,transceiver_snr_offset_db,minimum_gsnr_db,0.7999999999999999,0.7999999999999999
flat,transceiver_snr_offset_db,minimum_ngmi,,
flat,transceiver_snr_offset_db,working_fraction,,
flat,transceiver_snr_offset_db,air_tbps,,
flat,transceiver_snr_offset_db,thresholded_net_capacity_tbps,,
flat,transceiver_snr_offset_db,working_fraction_C,,
fixed,attenuation_scale,minimum_gsnr_db,-0.39999999999999997,0.39999999999999997
fixed,attenuation_scale,minimum_ngmi,0.2581988897471611,0.2581988897471611
fixed,attenuation_scale,working_fraction,,
fixed,attenuation_scale,air_tbps,,
fixed,attenuation_scale,thresholded_net_capacity_tbps,,
fixed,attenuation_scale,working_fraction_C,,
fixed,gamma_scale,minimum_gsnr_db,-0.7999999999999999,0.7999999999999999
fixed,gamma_scale,minimum_ngmi,-0.7745966692414834,0.7745966692414834
fixed,gamma_scale,working_fraction,,
fixed,gamma_scale,air_tbps,,
fixed,gamma_scale,thresholded_net_capacity_tbps,,
fixed,gamma_scale,working_fraction_C,,
