strategy,metric,samples,mean,std,ci95_low,median,ci95_high,cvar_lower,worst_case
flat,minimum_gsnr_db,4,25.989908905179185,0.46287319717578485,25.52612207428116,25.92485811892441,26.564282072710313,25.49682148164683,25.49682148164683
flat,minimum_ngmi,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
flat,working_fraction,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
flat,air_tbps,4,10.496,0.0,10.496,10.496,10.496,10.496,10.496
flat,thresholded_net_capacity_tbps,4,8.3968,0.0,8.3968,8.3968,8.3968,8.3968,8.3968
flat,working_fraction_C,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
fixed,minimum_gsnr_db,4,23.4096397488321,0.49221493872042665,22.917057715465283,23.340655924510198,24.01949428354615,22.88391824692954,22.88391824692954
fixed,minimum_ngmi,4,0.9999999999999997,7.223562968503252e-16,0.9999999999999987,1.0,1.0,0.9999999999999986,0.9999999999999986
fixed,working_fraction,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
fixed,air_tbps,4,10.496,0.0,10.496,10.496,10.496,10.496,10.496
fixed,thresholded_net_capacity_tbps,4,8.3968,0.0,8.3968,8.3968,8.3968,8.3968,8.3968
fixed,working_fraction_C,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
adaptive,minimum_gsnr_db,4,23.4096397488321,0.49221493872042665,22.917057715465283,23.340655924510198,24.01949428354615,22.88391824692954,22.88391824692954
adaptive,minimum_ngmi,4,0.9999999999999997,7.223562968503252e-16,0.9999999999999987,1.0,1.0,0.9999999999999986,0.9999999999999986
adaptive,working_fraction,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
adaptive,air_tbps,4,10.496,0.0,10.496,10.496,10.496,10.496,10.496
adaptive,thresholded_net_capacity_tbps,4,8.3968,0.0,8.3968,8.3968,8.3968,8.3968,8.3968
adaptive,working_fraction_C,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
