channel,frequency_hz,frequency_thz,wavelength_nm,band
0,193337666461538.44,193.33766646153845,1550.6158912890319,C
1,193387666461538.44,193.38766646153843,1550.2149826065752,C
2,193437666461538.44,193.43766646153844,1549.8142811788327,C
3,193487666461538.44,193.48766646153842,1549.4137868451314,C
4,193537666461538.44,193.53766646153844,1549.0134994449645,C
5,193587666461538.44,193.58766646153845,1548.6134188179913,C
6,193637666461538.44,193.63766646153843,1548.213544804036,C
7,193687666461538.44,193.68766646153844,1547.8138772430889,C
8,193737666461538.44,193.73766646153842,1547.4144159753055,C
9,193787666461538.44,193.78766646153844,1547.0151608410054,C
10,193837666461538.44,193.83766646153845,1546.6161116806743,C
11,193887666461538.44,193.88766646153843,1546.2172683349609,C
12,193937666461538.44,193.93766646153844,1545.8186306446798,C
13,193987666461538.44,193.98766646153842,1545.4201984508086,C
14,194037666461538.44,194.03766646153844,1545.0219715944893,C
15,194087666461538.44,194.08766646153845,1544.623949917027,C
16,194137666461538.44,194.13766646153843,1544.2261332598914,C
17,194187666461538.44,194.18766646153844,1543.8285214647144,C
18,194237666461538.44,194.23766646153842,1543.4311143732916,C
19,194287666461538.44,194.28766646153844,1543.0339118275813,C
20,194337666461538.44,194.33766646153845,1542.636913669704,C
21,194387666461538.44,194.38766646153843,1542.2401197419435,C
22,194437666461538.44,194.43766646153844,1541.843529886745,C
23,194487666461538.44,194.48766646153842,1541.4471439467163,C
24,194537666461538.44,194.53766646153844,1541.050961764627,C
25,194587666461538.44,194.58766646153845,1540.6549831834075,C
26,194637666461538.44,194.63766646153843,1540.2592080461504,C
27,194687666461538.44,194.68766646153844,1539.8636361961098,C
28,194737666461538.44,194.73766646153842,1539.4682674766998,C
29,194787666461538.44,194.78766646153844,1539.0731017314956,C
30,194837666461538.44,194.83766646153845,1538.6781388042334,C
31,194887666461538.44,194.88766646153843,1538.2833785388095,C
32,194937666461538.44,194.93766646153844,1537.8888207792802,C
33,194987666461538.44,194.98766646153842,1537.494465369862,C
34,195037666461538.44,195.03766646153844,1537.1003121549306,C
35,195087666461538.44,195.08766646153845,1536.7063609790223,C
36,195137666461538.44,195.13766646153843,1536.3126116868318,C
37,195187666461538.44,195.18766646153844,1535.919064123213,C
38,195237666461538.44,195.23766646153842,1535.5257181331795,C
39,195287666461538.44,195.28766646153844,1535.1325735619027,C
40,195337666461538.44,195.33766646153845,1534.7396302547133,C
