strategy,parameter,metric,spearman_rho,abs_spearman_rho,sensitivity_status
flat,attenuation_scale,thresholded_net_capacity_tbps,,,constant_metric
flat,gamma_scale,thresholded_net_capacity_tbps,,,constant_metric
flat,dispersion_scale,thresholded_net_capacity_tbps,,,constant_metric
flat,noise_figure_offset_db,thresholded_net_capacity_tbps,,,constant_metric
flat,raman_gain_scale,thresholded_net_capacity_tbps,,,constant_metric
flat,pump_power_scale,thresholded_net_capacity_tbps,,,constant_metric
flat,transceiver_snr_offset_db,thresholded_net_capacity_tbps,,,constant_metric
fixed,attenuation_scale,thresholded_net_capacity_tbps,,,constant_metric
fixed,gamma_scale,thresholded_net_capacity_tbps,,,constant_metric
fixed,dispersion_scale,thresholded_net_capacity_tbps,,,constant_metric
fixed,noise_figure_offset_db,thresholded_net_capacity_tbps,,,constant_metric
fixed,raman_gain_scale,thresholded_net_capacity_tbps,,,constant_metric
fixed,pump_power_scale,thresholded_net_capacity_tbps,,,constant_metric
fixed,transceiver_snr_offset_db,thresholded_net_capacity_tbps,,,constant_metric
adaptive,attenuation_scale,thresholded_net_capacity_tbps,,,constant_metric
adaptive,gamma_scale,thresholded_net_capacity_tbps,,,constant_metric
adaptive,dispersion_scale,thresholded_net_capacity_tbps,,,constant_metric
adaptive,noise_figure_offset_db,thresholded_net_capacity_tbps,,,constant_metric
adaptive,raman_gain_scale,thresholded_net_capacity_tbps,,,constant_metric
adaptive,pump_power_scale,thresholded_net_capacity_tbps,,,constant_metric
adaptive,transceiver_snr_offset_db,thresholded_net_capacity_tbps,,,constant_metric
