strategy,spans,channel,band,frequency_thz,wavelength_nm,distance_km,launch_power_dbm,ase_psd_w_per_hz,ase_channel_w,ase_receiver_w,ase_01nm_w,nli_w,transceiver_noise_w,total_noise_w,optical_noise_bandwidth_hz,receiver_equivalent_bandwidth_hz,gsnr_db,osnr_01nm_db,ber,evm_percent,q_factor_db,gmi_bits_per_2d_symbol_per_pol,ngmi,air_per_channel_gbps,metric_basis,calibrated_receiver_snr_db,calibrated_receiver_ngmi
adaptive,1,0,C,193.33766646153845,1550.6158912890319,80.0,-3.35677925421729,2.5961999240211732e-18,1.0052486105809982e-07,9.13862373255453e-08,3.237057209317067e-08,1.3346660924876225e-07,1.4598965242012014e-07,3.708424989944277e-07,38720000000.0,35200000000.0,30.951325755860587,41.54171699713491,4.736049425961854e-13,6.300285590221341,17.071491377869858,4.0,1.0,256.0,calibrated_receiver,24.01279527300442,1.0
adaptive,1,1,C,193.38766646153843,1550.2149826065752,80.0,-3.2067792542172895,2.589921540970453e-18,1.0028176206637593e-07,9.116523824215994e-08,3.230899512302412e-08,1.5463246161206626e-07,1.5112004511892747e-07,3.9691774497315367e-07,38720000000.0,35200000000.0,30.8062155926483,41.6999862381263,5.620779990267116e-13,6.32140341120265,17.04274330863661,4.0,1.0,256.0,calibrated_receiver,23.983729870809693,1.0
adaptive,1,2,C,193.43766646153844,1549.8142811788327,80.0,-3.05677925421729,2.590206836895559e-18,1.0029280872459604e-07,9.117528065872368e-08,3.2329265013656454e-08,1.7252257627905608e-07,1.564307309330868e-07,4.201285878708666e-07,38720000000.0,35200000000.0,30.70939840238218,41.84726243277623,6.297263712495109e-13,6.335532530114501,17.023563788508667,4.0,1.0,256.0,calibrated_receiver,23.96433749668403,1.0
adaptive,1,3,C,193.48766646153842,1549.4137868451314,80.0,-2.906779254217289,2.598037599625476e-18,1.0059601585749843e-07,9.145092350681677e-08,3.244376917249641e-08,1.9018425763031775e-07,1.619280457533089e-07,4.435632268904435e-07,38720000000.0,35200000000.0,30.623665403034632,41.98190771710941,6.961077146607362e-13,6.348070427714279,17.006580809179304,4.0,1.0,256.0,calibrated_receiver,23.94716527351072,1.0
adaptive,1,4,C,193.53766646153844,1549.0134994449645,80.0,-2.7567792542172906,2.605960968167873e-18,1.0090280868746003e-07,9.172982607950912e-08,3.25595357851806e-08,2.086537000122836e-07,1.6761854812723207e-07,4.680020742190248e-07,38720000000.0,35200000000.0,30.540742966753424,42.116438702337014,7.666793097711229e-13,6.360220903573789,16.990155258942437,4.0,1.0,256.0,calibrated_receiver,23.930556002952912,1.0
adaptive,1,5,C,193.58766646153845,1548.6134188179913,80.0,-2.6067792542172894,2.6139816193283983e-18,1.0121336830039558e-07,9.201215300035962e-08,3.267662514802297e-08,2.283255344995197e-07,1.735090270840689e-07,4.938467145839482e-07,38720000000.0,35200000000.0,30.457299056967074,42.2508487847053,8.446098703752585e-13,6.372471266470131,16.9736270912945,4.0,1.0,256.0,calibrated_receiver,23.913842281839575,1.0
adaptive,1,6,C,193.63766646153843,1548.213544804036,80.0,-2.456779254217289,2.6221043226826528e-18,1.0152787937427231e-07,9.229807215842938e-08,3.279509883936897e-08,2.4946898701219505e-07,1.7960651023422806e-07,5.213735694048525e-07,38720000000.0,35200000000.0,30.371730633818864,42.3851313044167,9.32404523904288e-13,6.3850580326957385,16.956678818865132,4.0,1.0,256.0,calibrated_receiver,23.89670302309356,1.0
adaptive,1,7,C,193.68766646153844,1547.8138772430889,80.0,-2.30677925421729,2.6303339504895078e-18,1.0184653056295374e-07,9.258775505723067e-08,3.291501984672151e-08,2.7230955193634097e-07,1.8591827215357456e-07,5.508155791471462e-07,38720000000.0,35200000000.0,30.28315859329706,42.51927953284184,1.0324886762590547e-12,6.398112804829411,16.939136387696525,4.0,1.0,256.0,calibrated_receiver,23.878962143171815,1.0
adaptive,1,8,C,193.73766646153842,1547.4144159753055,80.0,-2.1567792542172897,2.6386754887508366e-18,1.021695149244324e-07,9.288137720402945e-08,3.303645270860683e-08,2.9705932836289246e-07,1.9245184306233108e-07,5.82392548629253e-07,38720000000.0,35200000000.0,30.19106264780673,42.65328665826541,1.1474667492397436e-12,6.411715277203676,16.920896839001895,4.0,1.0,256.0,calibrated_receiver,23.860515429055283,1.0
adaptive,1,9,C,193.78766646153844,1547.0151608410054,80.0,-2.0067792542172906,2.647134049405739e-18,1.0249703039299021e-07,9.317911853908202e-08,3.3159463671083106e-08,3.2393084172415075e-07,1.992150178089744e-07,6.163249780722071e-07,38720000000.0,35200000000.0,30.095123056483295,42.78714577023702,1.2802826572982226e-12,6.425916207490406,16.901896952324485,4.0,1.0,256.0,calibrated_receiver,23.84129883700904,1.0
