strategy,channel,band,frequency_thz,wavelength_nm,launch_power_dbm
flat,0,L,190.28766646153844,1575.469727359314,0.0
flat,1,L,190.48766646153842,1573.8155838059542,0.0
flat,2,L,190.68766646153844,1572.1649101016603,0.0
flat,3,L,190.88766646153843,1570.5176953399687,0.0
flat,4,L,191.08766646153845,1568.8739286600755,0.0
flat,5,L,191.28766646153844,1567.2335992465999,0.0
flat,6,L,191.48766646153842,1565.5966963293447,0.0
flat,7,C,191.68766646153844,1563.9632091830617,0.0
flat,8,C,191.88766646153843,1562.3331271272182,0.0
flat,9,C,192.08766646153845,1560.7064395257632,0.0
flat,10,C,192.28766646153844,1559.0831357868954,0.0
flat,11,C,192.48766646153842,1557.4632053628354,0.0
flat,12,C,192.68766646153844,1555.846637749595,0.0
flat,13,C,192.88766646153843,1554.233422486752,0.0
flat,14,C,193.08766646153845,1552.6235491572234,0.0
flat,15,C,193.28766646153844,1551.0170073870415,0.0
flat,16,C,193.48766646153842,1549.4137868451314,0.0
flat,17,C,193.68766646153844,1547.8138772430889,0.0
flat,18,C,193.88766646153843,1546.2172683349609,0.0
flat,19,C,194.08766646153845,1544.623949917027,0.0
flat,20,C,194.28766646153844,1543.0339118275813,0.0
flat,21,C,194.48766646153842,1541.4471439467163,0.0
flat,22,C,194.68766646153844,1539.8636361961098,0.0
flat,23,C,194.88766646153843,1538.2833785388095,0.0
flat,24,C,195.08766646153845,1536.7063609790223,0.0
flat,25,C,195.28766646153844,1535.1325735619027,0.0
flat,26,C,195.48766646153842,1533.5620063733443,0.0
flat,27,C,195.68766646153844,1531.99464953977,0.0
flat,28,C,195.88766646153843,1530.4304932279274,0.0
flat,29,S,196.08766646153845,1528.8695276446808,0.0
flat,30,S,196.28766646153844,1527.3117430368086,0.0
flat,31,S,196.48766646153842,1525.7571296907993,0.0
flat,32,S,196.68766646153844,1524.2056779326492,0.0
flat,33,S,196.88766646153843,1522.6573781276634,0.0
flat,34,S,197.08766646153845,1521.1122206802543,0.0
flat,35,S,197.28766646153844,1519.5701960337447,0.0
flat,36,S,197.48766646153842,1518.0312946701704,0.0
flat,37,S,197.68766646153844,1516.4955071100846,0.0
flat,38,S,197.88766646153843,1514.9628239123624,0.0
flat,39,S,198.08766646153845,1513.433235674009,0.0
flat,40,S,198.28766646153844,1511.9067330299654,0.0
fixed,0,L,190.28766646153844,1575.469727359314,-3.35677925421729
fixed,1,L,190.48766646153842,1573.8155838059542,-3.2067792542172895
fixed,2,L,190.68766646153844,1572.1649101016603,-3.05677925421729
fixed,3,L,190.88766646153843,1570.5176953399687,-2.9067792542172897
fixed,4,L,191.08766646153845,1568.8739286600755,-2.75677925421729
fixed,5,L,191.28766646153844,1567.2335992465999,-2.60677925421729
fixed,6,L,191.48766646153842,1565.5966963293447,-2.4567792542172895
fixed,7,C,191.68766646153844,1563.9632091830617,-2.30677925421729
fixed,8,C,191.88766646153843,1562.3331271272182,-2.1567792542172897
fixed,9,C,192.08766646153845,1560.7064395257632,-2.00677925421729
fixed,10,C,192.28766646153844,1559.0831357868954,-1.8567792542172898
fixed,11,C,192.48766646153842,1557.4632053628354,-1.70677925421729
fixed,12,C,192.68766646153844,1555.846637749595,-1.55677925421729
fixed,13,C,192.88766646153843,1554.233422486752,-1.4067792542172897
fixed,14,C,193.08766646153845,1552.6235491572234,-1.2567792542172898
fixed,15,C,193.28766646153844,1551.0170073870415,-1.1067792542172898
fixed,16,C,193.48766646153842,1549.4137868451314,-0.95677925421729
fixed,17,C,193.68766646153844,1547.8138772430889,-0.8067792542172899
fixed,18,C,193.88766646153843,1546.2172683349609,-0.65677925421729
fixed,19,C,194.08766646153845,1544.623949917027,-0.50677925421729
fixed,20,C,194.28766646153844,1543.0339118275813,-0.35677925421728995
fixed,21,C,194.48766646153842,1541.4471439467163,-0.20677925421728993
fixed,22,C,194.68766646153844,1539.8636361961098,-0.05677925421728991
fixed,23,C,194.88766646153843,1538.2833785388095,0.09322074578271
fixed,24,C,195.08766646153845,1536.7063609790223,0.24322074578271013
fixed,25,C,195.28766646153844,1535.1325735619027,0.39322074578271005
fixed,26,C,195.48766646153842,1533.5620063733443,0.54322074578271
fixed,27,C,195.68766646153844,1531.99464953977,0.6932207457827099
fixed,28,C,195.88766646153843,1530.4304932279274,0.8432207457827102
fixed,29,S,196.08766646153845,1528.8695276446808,0.9932207457827101
fixed,30,S,196.28766646153844,1527.3117430368086,1.1432207457827102
fixed,31,S,196.48766646153842,1525.7571296907993,1.29322074578271
fixed,32,S,196.68766646153844,1524.2056779326492,1.44322074578271
