strategy,spans,channel,band,frequency_thz,wavelength_nm,distance_km,launch_power_dbm,ase_psd_w_per_hz,ase_channel_w,ase_receiver_w,ase_01nm_w,nli_w,transceiver_noise_w,total_noise_w,optical_noise_bandwidth_hz,receiver_equivalent_bandwidth_hz,gsnr_db,osnr_01nm_db,ber,evm_percent,q_factor_db,gmi_bits_per_2d_symbol_per_pol,ngmi,air_per_channel_gbps,metric_basis,calibrated_receiver_snr_db,calibrated_receiver_ngmi
flat,2,0,L,190.28766646153844,1575.469727359314,160.0,0.0,7.179850420683347e-18,2.780038082888592e-07,2.5273073480805384e-07,8.671934207106058e-08,6.599315058405545e-07,3.162277660168379e-07,1.2288900066654462e-06,38720000000.0,35200000000.0,29.104869874439068,40.61884025731793,2.4711461019937552e-11,6.848904570930042,16.35482855003375,4.0,1.0,256.0,calibrated_receiver,23.287577699622243,1.0
flat,2,1,L,190.48766646153842,1573.8155838059542,160.0,0.0,7.004076195895216e-18,2.7119783030506274e-07,2.465434820955116e-07,8.47742355586809e-08,7.101692926173282e-07,3.162277660168379e-07,1.2729405407296776e-06,38720000000.0,35200000000.0,28.9519188184209,40.717361177296866,2.761519924495462e-11,6.866424672252829,16.33292141141842,4.0,1.0,256.0,calibrated_receiver,23.265386799701048,1.0
flat,2,2,L,190.68766646153844,1572.1649101016603,160.0,0.0,6.840874709369085e-18,2.64878668746771e-07,2.407987897697918e-07,8.297287558726873e-08,7.387010749782854e-07,3.162277660168379e-07,1.295727630764915e-06,38720000000.0,35200000000.0,28.874862800143575,40.81063858323247,2.919879451464563e-11,6.875268186375043,16.321885219734156,4.0,1.0,256.0,calibrated_receiver,23.254207129325223,1.0
flat,2,3,L,190.88766646153843,1570.5176953399687,160.0,0.0,6.687998435585567e-18,2.5895929942587317e-07,2.3541754493261195e-07,8.128889081959639e-08,7.601572078141218e-07,3.162277660168379e-07,1.3118025187635717e-06,38720000000.0,35200000000.0,28.821315395537653,40.89968802319937,3.0349924044843553e-11,6.881420386227201,16.314216207686783,4.0,1.0,256.0,calibrated_receiver,23.246438205542777,1.0
flat,2,4,L,191.08766646153845,1568.8739286600755,160.0,0.0,6.5436369784787e-18,2.5336962380669523e-07,2.3033602164245022e-07,7.970100704375018e-08,7.781619615082266e-07,3.162277660168379e-07,1.3247257491675149e-06,38720000000.0,35200000000.0,28.778740220677413,40.98536191141144,3.129596831120243e-11,6.886315886652851,16.30811874957669,4.0,1.0,256.0,calibrated_receiver,23.240261187423084,1.0
flat,2,5,L,191.28766646153844,1567.2335992465999,160.0,0.0,6.406414940337883e-18,2.4805638648988286e-07,2.2550580589989348e-07,7.81930763168092e-08,7.941543235021652e-07,3.162277660168379e-07,1.3358878954188966e-06,38720000000.0,35200000000.0,28.742299853063837,41.0683170027168,3.212799098024956e-11,6.890508743149265,16.30289998088781,4.0,1.0,256.0,calibrated_receiver,23.234974237650675,1.0
flat,2,6,L,191.48766646153842,1565.5966963293447,160.0,0.0,6.275369578417239e-18,2.429823100763155e-07,2.2089300916028682e-07,7.67538587410292e-08,8.08845790940294e-07,3.162277660168379e-07,1.3459665661174186e-06,38720000000.0,35200000000.0,28.70965727876569,41.148997814819175,3.289119294744995e-11,6.8942667902718915,16.29822517591718,4.0,1.0,256.0,calibrated_receiver,23.2302382906211,1.0
flat,2,7,C,191.68766646153844,1563.9632091830617,160.0,0.0,5.7543596633593105e-18,2.228088061652725e-07,2.0255346015024774e-07,7.05284989680751e-08,8.215586595802063e-07,3.162277660168379e-07,1.340339885747292e-06,38720000000.0,35200000000.0,28.727850585103578,41.516353589856706,3.246371417151665e-11,6.892171993683327,16.30083066603345,4.0,1.0,256.0,calibrated_receiver,23.232877865990435,1.0
flat,2,8,C,191.88766646153843,1562.3331271272182,160.0,0.0,5.674384180629322e-18,2.1971215547396735e-07,1.9973832315815213e-07,6.969348086661716e-08,8.329542917764835e-07,3.162277660168379e-07,1.3489203809514735e-06,38720000000.0,35200000000.0,28.700136834888692,41.56807843940258,3.311702609072423e-11,6.89536323802769,16.296861746988675,4.0,1.0,256.0,calibrated_receiver,23.228857017272748,1.0
flat,2,9,C,192.08766646153845,1560.7064395257632,160.0,0.0,5.597645958753097e-18,2.1674085152291993e-07,1.9703713774810901e-07,6.889436236461392e-08,8.438082204152432e-07,3.162277660168379e-07,1.3570731241801902e-06,38720000000.0,35200000000.0,28.673967502972783,41.61816315017086,3.374543598212144e-11,6.898377998660689,16.293114047724032,4.0,1.0,256.0,calibrated_receiver,23.225060240443163,1.0
flat,2,10,C,192.28766646153844,1559.0831357868954,160.0,0.0,5.524330552232683e-18,2.1390207898244948e-07,1.9445643543859042e-07,6.813367461093496e-08,8.542309371175105e-07,3.162277660168379e-07,1.364915138572939e-06,38720000000.0,35200000000.0,28.64894349352288,41.666381878958134,3.4356976284880884e-11,6.9012620486232885,16.289530407627254,4.0,1.0,256.0,calibrated_receiver,23.221429632693297,1.0
flat,2,11,C,192.48766646153842,1557.4632053628354,160.0,0.0,5.45470663441678e-18,2.1120624088461772e-07,1.9200567353147065e-07,6.741499559513204e-08,8.642955666451068e-07,3.162277660168379e-07,1.3725290061934153e-06,38720000000.0,35200000000.0,28.624784686653904,41.71243489520262,3.4957397648484324e-11,6.904047526787418,16.286070706801965,4.0,1.0,256.0,calibrated_receiver,23.217924552837022,1.0
flat,2,12,C,192.68766646153844,1555.846637749595,160.0,0.0,5.3890669281559344e-18,2.0866467145819778e-07,1.8969515587108888e-07,6.674222931724098e-08,8.74049536620027e-07,3.162277660168379e-07,1.3799724585079538e-06,38720000000.0,35200000000.0,28.601295811620812,41.755992911782826,3.5550761799685015e-11,6.90675684064027,16.2827069778985,4.0,1.0,256.0,calibrated_receiver,23.21451667002346,1.0
flat,2,13,C,192.88766646153843,1554.233422486752,160.0,0.0,5.327678830567985e-18,2.0628772431959237e-07,1.8753429483599306e-07,6.611899618273432e-08,8.835209333501523e-07,3.162277660168379e-07,1.3872829942029834e-06,38720000000.0,35200000000.0,28.57834937423949,41.79673748500599,3.6139696545668286e-11,6.909404613914045,16.27942096056679,4.0,1.0,256.0,calibrated_receiver,23.21118748676227,1.0
flat,2,14,C,193.08766646153845,1552.6235491572234,160.0,0.0,5.270748507466401e-18,2.0408338220909903e-07,1.855303474628173e-07,6.554818329045369e-08,8.927211677182198e-07,3.162277660168379e-07,1.394479281197875e-06,38720000000.0,35200000000.0,28.555879339818535,41.83439340554594,3.672541912158632e-11,6.911998399040374,16.27620319632068,4.0,1.0,256.0,calibrated_receiver,23.207927422412002,1.0
flat,2,15,C,193.28766646153844,1551.0170073870415,160.0,0.0,5.218400247182854e-18,2.020564575709201e-07,1.8368768870083647e-07,6.503167931985091e-08,9.016398082912369e-07,3.162277660168379e-07,1.4015552630089113e-06,38720000000.0,35200000000.0,28.533897734323062,41.86875031015508,3.730716829188172e-11,6.914536745499239,16.273055405392654,4.0,1.0,256.0,calibrated_receiver,23.204738221759477,1.0
flat,2,16,C,193.48766646153842,1549.4137868451314,160.0,0.0,5.211443720282888e-18,2.0178710084935344e-07,1.8344281895395766e-07,6.507945733375368e-08,9.057777890669128e-07,3.162277660168379e-07,1.4054483740377085e-06,38720000000.0,35200000000.0,28.52185102587548,41.86556077092568,3.762970720230696e-11,6.9159282458249,16.271330315242988,4.0,1.0,256.0,calibrated_receiver,23.20299042538265,1.0
flat,2,17,C,193.68766646153844,1547.8138772430889,160.0,0.0,5.2790870710986614e-18,2.0440625139294017e-07,1.858238649026729e-07,6.606053033130877e-08,9.018777102039335e-07,3.162277660168379e-07,1.4039293411234443e-06,38720000000.0,35200000000.0,28.526547494230194,41.80057944131791,3.750364862043787e-11,6.915385729298336,16.272002849067444,4.0,1.0,256.0,calibrated_receiver,23.20367181236981,1.0
flat,2,18,C,193.88766646153843,1546.2172683349609,160.0,0.0,5.350750382996731e-18,2.0718105482963343e-07,1.8834641348148492e-07,6.709564864028379e-08,8.977332455473571e-07,3.162277660168379e-07,1.40230742504568e-06,38720000000.0,35200000000.0,28.531567664228735,41.73305644254122,3.7369347146371503e-11,6.914805867160069,16.27272173839036,4.0,1.0,256.0,calibrated_receiver,23.204400163601406,1.0
flat,2,19,C,194.08766646153845,1544.623949917027,160.0,0.0,5.4269781101040256e-18,2.1013259242322787e-07,1.910296294756617e-07,6.819197108684746e-08,8.93374480524509e-07,3.162277660168379e-07,1.4006318760170086e-06,38720000000.0,35200000000.0,28.53675994066306,41.66266756105165,3.723092428580349e-11,6.914206176765066,16.27346527496845,4.0,1.0,256.0,calibrated_receiver,23.205153484890694,1.0
flat,2,20,C,194.28766646153844,1543.0339118275813,160.0,0.0,5.508379984670144e-18,2.13284473006428e-07,1.9389497546038908e-07,6.935753550208378e-08,8.888124497299896e-07,3.162277660168379e-07,1.3989351912072166e-06,38720000000.0,35200000000.0,28.542024047026256,41.589063471474944,3.709108605470676e-11,6.9135982433485035,16.274219099268077,4.0,1.0,256.0,calibrated_receiver,23.20591722762331,1.0
flat,2,21,C,194.48766646153842,1541.4471439467163,160.0,0.0,5.595662821381911e-18,2.166640644439076e-07,1.9696733131264328e-07,7.060166861444945e-08,8.840515821036141e-07,3.162277660168379e-07,1.3972466794330953e-06,38720000000.0,35200000000.0,28.547269138148287,41.51185034621224,3.6952251540204865e-11,6.9129925590997345,16.27497020221168,4.0,1.0,256.0,calibrated_receiver,23.206678211530168,1.0
flat,2,22,C,194.68766646153844,1539.8636361961098,160.0,0.0,5.689669039253813e-18,2.2030398519990765e-07,2.002763501817342e-07,7.19354858542627e-08,8.790921382010895e-07,3.162277660168379e-07,1.3955962543996617e-06,38720000000.0,35200000000.0,28.552402048127355,41.430568188124106,3.681686660177575e-11,6.912399880498099,16.275705242276032,4.0,1.0,256.0,calibrated_receiver,23.207422919638862,1.0
flat,2,23,C,194.88766646153843,1538.2833785388095,160.0,0.0,5.791422171851225e-18,2.2424386649407942e-07,2.0385806044916313e-07,7.337248574042397e-08,8.739307202306529e-07,3.162277660168379e-07,1.394016546696654e-06,38720000000.0,35200000000.0,28.557320712190702,41.344667674856346,3.6687576802918256e-11,6.911831987775276,16.276409603490485,4.0,1.0,256.0,calibrated_receiver,23.20813654388453,1.0
flat,2,24,C,195.08766646153845,1536.7063609790223,160.0,0.0,5.9021798189945994e-18,2.2853240259147088e-07,2.077567296286099e-07,7.492924589642929e-08,8.685601137631431e-07,3.162277660168379e-07,1.3925446094085908e-06,38720000000.0,35200000000.0,28.561908835440523,41.25348638210221,3.6567366121759494e-11,6.9113023002621485,16.277066631986543,4.0,1.0,256.0,calibrated_receiver,23.20880221162501,1.0
