strategy,spans,distance_km,band,channels,minimum_gsnr_db,mean_gsnr_db,minimum_ngmi,mean_ngmi,working_fraction,metric_basis
flat,1,80.0,L,7,30.919003104348914,31.030184799580162,1.0,1.0,1.0,calibrated_receiver
flat,1,80.0,C,22,30.775817298810445,30.82140754155595,1.0,1.0,1.0,calibrated_receiver
flat,1,80.0,S,12,30.396693124485395,30.517012965464932,1.0,1.0,1.0,calibrated_receiver
flat,2,160.0,L,7,28.70965727876569,28.85480917729259,1.0,1.0,1.0,calibrated_receiver
flat,2,160.0,C,22,28.52185102587548,28.5820156970762,1.0,1.0,1.0,calibrated_receiver
flat,2,160.0,S,12,28.09813173607582,28.231958401101398,1.0,1.0,1.0,calibrated_receiver
fixed,1,80.0,L,7,31.659399552674422,31.72958240194782,1.0,1.0,1.0,calibrated_receiver
fixed,1,80.0,C,22,30.01669652194113,31.101362472459638,1.0,1.0,1.0,calibrated_receiver
fixed,1,80.0,S,12,28.367069093492475,28.979338113153236,1.0,1.0,1.0,calibrated_receiver
fixed,2,160.0,L,7,29.74777482210238,29.824104973435713,1.0,1.0,1.0,calibrated_receiver
fixed,2,160.0,C,22,27.586800568951574,28.960485171156616,1.0,1.0,1.0,calibrated_receiver
fixed,2,160.0,S,12,25.667989154118,26.372556768004433,1.0,1.0,1.0,calibrated_receiver
adaptive,1,80.0,L,7,30.619011725720288,30.737500516792416,1.0,1.0,1.0,calibrated_receiver
adaptive,1,80.0,C,22,30.683358111090847,30.80119244486342,1.0,1.0,1.0,calibrated_receiver
adaptive,1,80.0,S,12,30.549412916620483,30.649341561312458,1.0,1.0,1.0,calibrated_receiver
adaptive,2,160.0,L,7,28.32876336780761,28.479716304904574,1.0,1.0,1.0,calibrated_receiver
adaptive,2,160.0,C,22,28.40659141330928,28.556524379646042,1.0,1.0,1.0,calibrated_receiver
adaptive,2,160.0,S,12,28.301683033863835,28.403564808093062,1.0,1.0,1.0,calibrated_receiver
