channel,frequency_hz,frequency_thz,wavelength_nm,band
0,190287666461538.44,190.28766646153844,1575.469727359314,L
1,190487666461538.44,190.48766646153842,1573.8155838059542,L
2,190687666461538.44,190.68766646153844,1572.1649101016603,L
3,190887666461538.44,190.88766646153843,1570.5176953399687,L
4,191087666461538.44,191.08766646153845,1568.8739286600755,L
5,191287666461538.44,191.28766646153844,1567.2335992465999,L
6,191487666461538.44,191.48766646153842,1565.5966963293447,L
7,191687666461538.44,191.68766646153844,1563.9632091830617,C
8,191887666461538.44,191.88766646153843,1562.3331271272182,C
9,192087666461538.44,192.08766646153845,1560.7064395257632,C
10,192287666461538.44,192.28766646153844,1559.0831357868954,C
11,192487666461538.44,192.48766646153842,1557.4632053628354,C
12,192687666461538.44,192.68766646153844,1555.846637749595,C
13,192887666461538.44,192.88766646153843,1554.233422486752,C
14,193087666461538.44,193.08766646153845,1552.6235491572234,C
15,193287666461538.44,193.28766646153844,1551.0170073870415,C
16,193487666461538.44,193.48766646153842,1549.4137868451314,C
17,193687666461538.44,193.68766646153844,1547.8138772430889,C
18,193887666461538.44,193.88766646153843,1546.2172683349609,C
19,194087666461538.44,194.08766646153845,1544.623949917027,C
20,194287666461538.44,194.28766646153844,1543.0339118275813,C
21,194487666461538.44,194.48766646153842,1541.4471439467163,C
22,194687666461538.44,194.68766646153844,1539.8636361961098,C
23,194887666461538.44,194.88766646153843,1538.2833785388095,C
24,195087666461538.44,195.08766646153845,1536.7063609790223,C
25,195287666461538.44,195.28766646153844,1535.1325735619027,C
26,195487666461538.44,195.48766646153842,1533.5620063733443,C
27,195687666461538.44,195.68766646153844,1531.99464953977,C
28,195887666461538.44,195.88766646153843,1530.4304932279274,C
29,196087666461538.44,196.08766646153845,1528.8695276446808,S
30,196287666461538.44,196.28766646153844,1527.3117430368086,S
31,196487666461538.44,196.48766646153842,1525.7571296907993,S
32,196687666461538.44,196.68766646153844,1524.2056779326492,S
33,196887666461538.44,196.88766646153843,1522.6573781276634,S
34,197087666461538.44,197.08766646153845,1521.1122206802543,S
35,197287666461538.44,197.28766646153844,1519.5701960337447,S
36,197487666461538.44,197.48766646153842,1518.0312946701704,S
37,197687666461538.44,197.68766646153844,1516.4955071100846,S
38,197887666461538.44,197.88766646153843,1514.9628239123624,S
39,198087666461538.44,198.08766646153845,1513.433235674009,S
40,198287666461538.44,198.28766646153844,1511.9067330299654,S
