strategy,spans,channel,band,frequency_thz,wavelength_nm,distance_km,launch_power_dbm,ase_psd_w_per_hz,ase_channel_w,ase_receiver_w,ase_01nm_w,nli_w,transceiver_noise_w,total_noise_w,optical_noise_bandwidth_hz,receiver_equivalent_bandwidth_hz,gsnr_db,osnr_01nm_db,ber,evm_percent,q_factor_db,gmi_bits_per_2d_symbol_per_pol,ngmi,air_per_channel_gbps,metric_basis,calibrated_receiver_snr_db,calibrated_receiver_ngmi
flat,1,0,L,190.28766646153844,1575.469727359314,80.0,0.0,3.5899252103416736e-18,1.390019041444296e-07,1.2636536740402692e-07,4.335967103553029e-08,3.121666237077969e-07,3.162277660168379e-07,7.547597571286617e-07,38720000000.0,35200000000.0,31.22191263942828,43.62914021395774,5.007903494336278e-12,6.610945247980695,16.658190039770876,4.0,1.0,256.0,calibrated_receiver,23.59472879324516,1.0
flat,1,1,L,190.48766646153842,1573.8155838059542,80.0,0.0,3.502038097947608e-18,1.3559891515253137e-07,1.232717410477558e-07,4.238711777934045e-08,3.3593054487516527e-07,3.162277660168379e-07,7.75430051939759e-07,38720000000.0,35200000000.0,31.104573718370627,43.72766113393668,5.487188146105426e-12,6.623915232306447,16.64136937255681,4.0,1.0,256.0,calibrated_receiver,23.57770467898379,1.0
flat,1,2,L,190.68766646153844,1572.1649101016603,80.0,0.0,3.4204373546845425e-18,1.324393343733855e-07,1.203993948848959e-07,4.1486437793634364e-08,3.4942690031381226e-07,3.162277660168379e-07,7.86054061215546e-07,38720000000.0,35200000000.0,31.045475841384466,43.82093853987228,5.744920900533006e-12,6.630457211322326,16.632897912339587,4.0,1.0,256.0,calibrated_receiver,23.569130465062706,1.0
flat,1,3,L,190.88766646153843,1570.5176953399687,80.0,0.0,3.3439992177927834e-18,1.2947964971293658e-07,1.1770877246630598e-07,4.0644445409798195e-08,3.595762695830639e-07,3.162277660168379e-07,7.935128080662078e-07,38720000000.0,35200000000.0,31.004460589184767,43.90998797983918,5.9305664867887235e-12,6.6350012892123695,16.627018642349036,4.0,1.0,256.0,calibrated_receiver,23.563179768281,1.0
flat,1,4,L,191.08766646153845,1568.8739286600755,80.0,0.0,3.27181848923935e-18,1.2668481190334762e-07,1.1516801082122511e-07,3.985050352187509e-08,3.6809303703792327e-07,3.162277660168379e-07,7.994888138759863e-07,38720000000.0,35200000000.0,30.971876083479142,43.99566186805125,6.082134053265807e-12,6.638613544789843,16.62234793143623,4.0,1.0,256.0,calibrated_receiver,23.558452246131633,1.0
flat,1,5,L,191.28766646153844,1567.2335992465999,80.0,0.0,3.2032074701689416e-18,1.2402819324494143e-07,1.1275290294994674e-07,3.90965381584046e-08,3.75657885214708e-07,3.162277660168379e-07,8.046385541814927e-07,38720000000.0,35200000000.0,30.943991620864956,44.078616959356616,6.214778520380161e-12,6.64170632415625,16.618350978287012,4.0,1.0,256.0,calibrated_receiver,23.554406629610003,1.0
flat,1,6,L,191.48766646153842,1565.5966963293447,80.0,0.0,3.1376847892086195e-18,1.2149115503815774e-07,1.1044650458014341e-07,3.83769293705146e-08,3.826073727704389e-07,3.162277660168379e-07,8.092816433674203e-07,38720000000.0,35200000000.0,30.919003104348914,44.15929777145899,6.3359971170569946e-12,6.644479126487027,16.61476916606805,4.0,1.0,256.0,calibrated_receiver,23.55078117135151,1.0
flat,1,7,C,191.68766646153844,1563.9632091830617,80.0,0.0,2.8771798316796552e-18,1.1140440308263625e-07,1.0127673007512387e-07,3.526424948403755e-08,3.886209260647424e-07,3.162277660168379e-07,8.061254221567042e-07,38720000000.0,35200000000.0,30.935973826205448,44.52665354649652,6.253428556381947e-12,6.6425958771137354,16.61720171722089,4.0,1.0,256.0,calibrated_receiver,23.55324336808367,1.0
flat,1,8,C,191.88766646153843,1562.3331271272182,80.0,0.0,2.837192090314661e-18,1.0985607773698368e-07,9.986916157907607e-08,3.484674043330858e-08,3.940113885540226e-07,3.162277660168379e-07,8.101083161499367e-07,38720000000.0,35200000000.0,30.914569095642577,44.578378396042396,6.3577415555455105e-12,6.644971258587433,16.61413360628334,4.0,1.0,256.0,calibrated_receiver,23.550137863315502,1.0
flat,1,9,C,192.08766646153845,1560.7064395257632,80.0,0.0,2.7988229793765486e-18,1.0837042576145996e-07,9.851856887405451e-08,3.444718118230696e-08,3.9914560964687893e-07,3.162277660168379e-07,8.138919445377713e-07,38720000000.0,35200000000.0,30.894332499093395,44.62846310681067,6.4578926915012414e-12,6.6472177880103205,16.61123295669264,4.0,1.0,256.0,calibrated_receiver,23.547201837239847,1.0
