channel,band,wavelength_nm,launch_power_dbm,span_output_power_dbm,no_isrs_output_power_dbm,differential_isrs_db,amplifier_residual_db
0,L,1575.469727359314,0.3936755954406893,-7.829069677057432,-15.289339772453918,7.460270095396487,0.0
1,L,1573.8155838059542,0.4086754211654433,-7.672587766358495,-15.229482067399116,7.5568943010406215,0.0
2,L,1572.1649101016603,0.4236752468901972,-7.521255778980432,-15.168906898556093,7.647651119575661,0.0
3,L,1570.5176953399687,0.4386750726149511,-7.373675558077961,-15.107749323651502,7.734073765573543,0.0
4,L,1568.8739286600755,0.4536748983397051,-7.22857708660165,-15.046128413403277,7.817551326801626,0.0
5,L,1567.2335992465999,0.468674724064459,-7.084893361331808,-14.984148279169013,7.8992549178372045,0.0
6,L,1565.5966963293447,0.40367489833970505,-7.021798941194616,-15.001882585514501,7.980083644319885,0.0
7,C,1563.9632091830617,0.3386750726149511,-6.972590787980401,-15.033216382116315,8.060625594135914,0.0
8,C,1562.3331271272182,0.2736752468901972,-6.931161944891616,-15.072301921912185,8.14113997702057,0.0
9,C,1560.7064395257632,0.20867542116544327,-6.889674059199851,-15.11123977197304,8.22156571277319,0.0
10,C,1559.0831357868954,0.14367559544068934,-6.848530895408006,-15.150078382573897,8.301547487165893,0.0
11,C,1557.4632053628354,0.11867559544068931,-6.768390258535419,-15.148866889997096,8.380476631461676,0.0
12,C,1555.846637749595,0.09367559544068929,-6.6901021645311864,-15.147648241918063,8.457546077386876,0.0
13,C,1554.233422486752,0.06867559544068934,-6.61464178081883,-15.14645333477545,8.531811553956619,0.0
14,C,1552.6235491572234,0.043675595440689316,-6.543058769830118,-15.145309475848931,8.602250706018813,0.0
15,C,1551.0170073870415,0.01867559544068935,-6.47642222688631,-15.1442410802216,8.66781885333529,0.0
16,C,1549.4137868451314,-0.006324404559310673,-6.466576228432902,-15.19407287617806,8.727496647745157,0.0
17,C,1547.8138772430889,-0.031324404559310695,-6.551542276585946,-15.331866908911088,8.780324632325145,0.0
18,C,1546.2172683349609,-0.05632440455931066,-6.644079032171746,-15.469497683857936,8.82541865168619,0.0
19,C,1544.623949917027,-0.08132440455931068,-6.7450101647612914,-15.606982603371398,8.861972438610104,0.0
20,C,1543.0339118275813,-0.10632440455931065,-6.85508780114612,-15.744337291022356,8.889249489876237,0.0
21,C,1541.4471439467163,-0.0913245788345567,-6.935022640675524,-15.84158282235996,8.906560181684437,0.0
22,C,1539.8636361961098,-0.07632475310980277,-7.025504216487397,-15.938738358155986,8.91323414166859,0.0
23,C,1538.2833785388095,-0.06132492738504883,-7.127225001996798,-16.035814982963167,8.908589980966365,0.0
24,C,1536.7063609790223,-0.04632510166029488,-7.24091798055425,-16.132822866801796,8.891904886247548,0.0
25,C,1535.1325735619027,-0.031325275935541005,-7.367378883160672,-16.229771629126926,8.862392745966254,0.0
26,C,1533.5620063733443,-0.05632527593554103,-7.5474691194009615,-16.36666384695304,8.819194727552077,0.0
27,C,1531.99464953977,-0.08132527593554104,-7.742121255108635,-16.50350309982396,8.761381844715322,0.0
28,C,1530.4304932279274,-0.10632527593554106,-7.9523276343771085,-16.640301085638047,8.687973451260937,4.85722573273506e-16
29,S,1528.8695276446808,-0.13132527593554108,-8.13711157126054,-16.735084745206727,8.597973173946183,-4.996003610813204e-16
30,S,1527.3117430368086,-0.156325275935541,-8.323572864812984,-16.813991795130143,8.490418930317157,-4.996003610813204e-16
31,S,1525.7571296907993,-0.181325275935541,-8.528591304967081,-16.89303593735595,8.36444463238887,0.0
32,S,1524.2056779326492,-0.20632527593554104,-8.75290106787102,-16.972248084868113,8.219347016997093,0.0
33,S,1522.6573781276634,-0.23132527593554106,-8.997014521109813,-17.051668792060408,8.054654270950595,0.0
34,S,1521.1122206802543,-0.2563252759355411,-9.261159442595527,-17.13135047509737,7.870191032501841,0.0
35,S,1519.5701960337447,-0.281325275935541,-9.545225628734526,-17.211359721493398,7.666134092758873,5.551115123125783e-16
36,S,1518.0312946701704,-0.34632510166029495,-9.888718599191634,-17.33177333142422,7.443054732232587,-4.996003610813204e-16
37,S,1516.4955071100846,-0.411324927385049,-10.250745540990033,-17.452687215663516,7.201941674673485,0.0
38,S,1514.9628239123624,-0.47632475310980293,-10.630020113702155,-17.57422388857369,6.944203774871537,0.0
39,S,1513.433235674009,-0.541324578834557,-11.02487522219938,-17.696528084270913,6.671652862071534,0.0
40,S,1511.9067330299654,-0.6063244045593107,-11.433303066508794,-17.81976802277127,6.386464956262479,0.0
